row_label_raw,row_label_full,col_0,Thuyết minh,31/12/2017 VND,31/12/2016 VND,numeric__Thuyết minh,numeric__31/12/2017 VND,numeric__31/12/2016 VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,(i),261.746.724.202,293.049.710.838,,261746724202.0,293049710838.0
Các khoản đầu tư nắm giữ đến ngàyđáo hạn – ngắn hạn,Các khoản đầu tư nắm giữ đến ngàyđáo hạn – ngắn hạn,Các khoản đầu tư nắm giữ đến ngàyđáo hạn – ngắn hạn,,501.495.039.025,60.999.039.025,,501495039025.0,60999039025.0
▪ Tiền gửi có kỳ hạn,▪ Tiền gửi có kỳ hạn,▪ Tiền gửi có kỳ hạn,(i),341.495.039.025,60.999.039.025,,341495039025.0,60999039025.0
▪ Trái phiếu,▪ Trái phiếu,▪ Trái phiếu,(ii),160.000.000.000,-,,160000000000.0,
Các khoản cho vay,Các khoản cho vay,Các khoản cho vay,(iii),2.616.257.740.011,2.019.375.587.655,,2616257740011.0,2019375587655.0
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,(iii),19.033.259.399,21.740.185.570,,19033259399.0,21740185570.0
Phải thu từ các dịch vụ công ty chứngkhoán cung cấp,Phải thu từ các dịch vụ công ty chứngkhoán cung cấp,Phải thu từ các dịch vụ công ty chứngkhoán cung cấp,(iii),378.537.563.784,597.560.497.382,,378537563784.0,597560497382.0
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,(iii),193.888.082.341,322.649.155.962,,193888082341.0,322649155962.0
Các khoản đầu tư nắm giữ đến ngàyđáo hạn – dài hạn,Các khoản đầu tư nắm giữ đến ngàyđáo hạn – dài hạn,Các khoản đầu tư nắm giữ đến ngàyđáo hạn – dài hạn,(i),-,101.000.000.000,,,101000000000.0
Tiền nộp Quỹ Hỗ trợ thanh toán,Tiền nộp Quỹ Hỗ trợ thanh toán,Tiền nộp Quỹ Hỗ trợ thanh toán,,7.956.433.957,5.456.433.957,,7956433957.0,5456433957.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,,10.020.433.416,-,,10020433416.0,
,,,,3.988.935.276.135,3.421.830.610.389,,3988935276135.0,3421830610389.0
