row_label_raw,row_label_full,col_0,End of year VND,Beginning of year VND,numeric__End of year VND,numeric__Beginning of year VND
Short-term,Short-term,Short-term,"181,225,726,104","169,357,579,307",,
Brokerage expenses of projects are allocated according to real estate revenue,Brokerage expenses of projects are allocated according to real estate revenue,Brokerage expenses of projects are allocated according to real estate revenue,"177,184,568,321","163,122,006,050",,
Brokerage expenses of projects are allocated according to real estate revenue,Brokerage expenses of projects are allocated according to real estate revenue,Brokerage expenses of projects are allocated according to real estate revenue,"2,567,104,300","5,170,761,281",,
Others,Others,Others,"1,474,053,483","1,064,811,976",,
Long-term,Long-term,Long-term,"123,326,411,304","36,470,053,146",,
Tools and supplies,Tools and supplies,Tools and supplies,"53,667,423,938","14,551,099,241",,
Land use fee,Land use fee,Land use fee,"65,559,228,031","17,425,580,800",,
Maintenance expenses,Maintenance expenses,Maintenance expenses,"59,427,083","921,642,813",,
Others,Others,Others,"4,040,332,252","3,571,730,292",,
Total,Total,Total,"304,552,137,408","205,827,632,453",,
