row_label_raw,row_label_full,Ông Nguyễn Hùng Cường,Chủ tịch,col_2,numeric__Chủ tịch,numeric__col_2
Bà Nguyễn Thị Thanh Huyền,Bà Nguyễn Thị Thanh Huyền,Bà Nguyễn Thị Thanh Huyền,Phó Chủ tịch,,,
Ông Nguyễn Quang Tín,Ông Nguyễn Quang Tín,Ông Nguyễn Quang Tín,Thành viên,,,
Ông Đình Hồng Kỳ,Ông Đình Hồng Kỳ,Ông Đình Hồng Kỳ,Thành viên độc lập,,,
Ông Bùi Văn Sự,Ông Bùi Văn Sự,Ông Bùi Văn Sự,Thành viên,(Từ ngày 18 tháng 04 năm 2025),,
