row_label_raw,row_label_full,Purpose of capital use,According to the plan (VND),Accumulated amount used until 31/12/2025 (VND),Unspent amount at the date 31/12/2025 (VND),numeric__According to the plan (VND),numeric__Accumulated amount used until 31/12/2025 (VND),numeric__Unspent amount at the date 31/12/2025 (VND)
Purpose of capital use,Purpose of capital use,Purpose of capital use,(1),(2),(3) = (1) - (2),-1.0,-2.0,
Investment in the Cap Saint Jacques Complex Project – Phase 3: Tourist apartment and hotel block (C4),Investment in the Cap Saint Jacques Complex Project – Phase 3: Tourist apartment and hotel block (C4),Investment in the Cap Saint Jacques Complex Project – Phase 3: Tourist apartment and hotel block (C4),"600,000,000,000","22,175,778,100","577,824,221,900",,,
Investment in the Vi Thanh Commercial Residential Area Project,Investment in the Vi Thanh Commercial Residential Area Project,Investment in the Vi Thanh Commercial Residential Area Project,"600,000,000,000","43,982,467,841","556,017,532,159",,,
Repayment of bonds,Repayment of bonds,Repayment of bonds,"599,564,260,000","599,564,260,000",-,,,
Total,Total,Total,"1,799,564,260,000","665,722,505,941","1,133,841,754,059",,,
