row_label_raw,row_label_full,col_0,Số cuối năm VND,Số đầu năm VND,numeric__Số cuối năm VND,numeric__Số đầu năm VND
Khách hàng Dự án Khu du lịch sinh thái Đại Phước,Khách hàng Dự án Khu du lịch sinh thái Đại Phước,Khách hàng Dự án Khu du lịch sinh thái Đại Phước,765.263.220.094,2.445.956.364,765263220094.0,2445956364.0
"Khách hàng Dự án Block B Pullman, Vũng Tàu","Khách hàng Dự án Block B Pullman, Vũng Tàu","Khách hàng Dự án Block B Pullman, Vũng Tàu",399.661.923.851,401.461.923.851,399661923851.0,401461923851.0
Khách hàng Dự án Khu đô thị mới Nam Vĩnh Yên (i),Khách hàng Dự án Khu đô thị mới Nam Vĩnh Yên (i),Khách hàng Dự án Khu đô thị mới Nam Vĩnh Yên (i),154.078.902.089,268.357.901.964,154078902089.0,268357901964.0
Khách hàng Dự án Chung cư Vũng Tàu Gateway,Khách hàng Dự án Chung cư Vũng Tàu Gateway,Khách hàng Dự án Chung cư Vũng Tàu Gateway,173.488.003.007,190.650.046.394,173488003007.0,190650046394.0
Khách hàng Dự án Trung tâm Chí Linh - Vũng Tàu,Khách hàng Dự án Trung tâm Chí Linh - Vũng Tàu,Khách hàng Dự án Trung tâm Chí Linh - Vũng Tàu,22.636.978.041,22.850.980.041,22636978041.0,22850980041.0
Công ty CP Green Mark Construction,Công ty CP Green Mark Construction,Công ty CP Green Mark Construction,39.942.857.624,73.156.638.946,39942857624.0,73156638946.0
Công ty TNHH Logistics Cái Mép,Công ty TNHH Logistics Cái Mép,Công ty TNHH Logistics Cái Mép,68.897.875.824,25.663.436.805,68897875824.0,25663436805.0
Các khách hàng khác (ii),Các khách hàng khác (ii),Các khách hàng khác (ii),99.384.650.301,203.569.775.026,99384650301.0,203569775026.0
Cộng,Cộng,Cộng,1.723.354.410.831,1.188.156.659.391,1723354410831.0,1188156659391.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu bên liên quan (Thuyết minh VIII.2),Trong đó: > Phải thu bên liên quan (Thuyết minh VIII.2),Phải thu bên liên quan (Thuyết minh VIII.2),405.959.287.297,407.878.493.297,405959287297.0,407878493297.0
