row_label_raw,row_label_full,Objects,End of year VND,Classified into short-term debt VND,Principal repayment term,Interest rate (%/year),Collaterals,numeric__End of year VND,numeric__Classified into short-term debt VND,numeric__Principal repayment term,numeric__Interest rate (%/year),numeric__Collaterals
Saigon Thuong Tin Commercial Joint Stock Bank – Ba Ria - Vung Tau Branch,Saigon Thuong Tin Commercial Joint Stock Bank – Ba Ria - Vung Tau Branch,Saigon Thuong Tin Commercial Joint Stock Bank – Ba Ria - Vung Tau Branch,"262,500,000,000","175,000,000,000",To 17 June 2027,11.7%,"- Property rights arising from the A2-1 Chi Linh Apartment Project; - Right to use 9,282 m2 of urban land and all assets formed on the land in Thang Nhat Ward, Vung Tau City.",,,,1.17,
Saigon Thuong Tin Commercial Joint Stock Bank – Ba Ria - Vung Tau Branch,Saigon Thuong Tin Commercial Joint Stock Bank – Ba Ria - Vung Tau Branch,Saigon Thuong Tin Commercial Joint Stock Bank – Ba Ria - Vung Tau Branch,"480,000,000,000","20,000,000,000",To 31 December 2039,10.5%,"- All benefits, payment claims, debt claims, compensation for damages, profits, and profits that Phuong Nam Investment and Development Joint Stock Company obtains from the exploitation and use of 25,221.8 m2 of commercial service land used until September 11, 2057, land leased with annual payment at land plot No. 1, map sheet No. 65, Thang Tam ward, Vung Tau city. Ownership of construction works at land plot No. 1, map sheet No. 65, Thang Tam ward, Vung Tau city. Property rights arising from the Contract for leasing construction works on land attached to land No. 04/HDTCTXD. DICPN-DICDL dated December 10, 2024.",,,,1.05,
Joint Stock Commercial Bank for Investment & Development of Vietnam – Nam Ky Khoi Nghia Branch,Joint Stock Commercial Bank for Investment & Development of Vietnam – Nam Ky Khoi Nghia Branch,Joint Stock Commercial Bank for Investment & Development of Vietnam – Nam Ky Khoi Nghia Branch,"26,814,757,700",-,Đến ngày 17 tháng 09 năm 2035,7.8%,"- Property rights arising from the Cap Saint Jacques Project. - Property rights (including but not limited to: the right to receivables and to enjoy proceeds from such receivables; the right to allocation, use, exploitation and/or ownership of allocated products; the right to claim refunds of advance payments, penalties for breach, compensation for damages and to enjoy such proceeds; and other rights, benefits and reimbursements, etc.) of DIC Group arising from the land lease agreement of the Cap Saint Jacques Project",,,,0.78,
Tien Phong Commercial Joint Stock Bank Total,Tien Phong Commercial Joint Stock Bank Total,Tien Phong Commercial Joint Stock Bank Total,"263,499,985","62,000,004",To 31 March 2030,10%,- Mitsubishi car 92A-280.63,,,,0.1,
Tien Phong Commercial Joint Stock Bank Total,Tien Phong Commercial Joint Stock Bank Total,Tien Phong Commercial Joint Stock Bank Total,"932,848,929,213","222,886,000,004",,,,,,,,
