row_label_raw,row_label_full,col_0,Số cuối năm VND,Số đầu năm VND,numeric__Số cuối năm VND,numeric__Số đầu năm VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,181.225.726.104,169.357.579.307,181225726104.0,169357579307.0
Chi phí môi giới dự án chờ phân bổ theo doanh thu bất động sản,Chi phí môi giới dự án chờ phân bổ theo doanh thu bất động sản,Chi phí môi giới dự án chờ phân bổ theo doanh thu bất động sản,177.184.568.321,163.122.006.050,177184568321.0,163122006050.0
"Công cụ, dụng cụ chờ phân bổ","Công cụ, dụng cụ chờ phân bổ","Công cụ, dụng cụ chờ phân bổ",2.567.104.300,5.170.761.281,2567104300.0,5170761281.0
Chi phí trả trước khác,Chi phí trả trước khác,Chi phí trả trước khác,1.474.053.483,1.064.811.976,1474053483.0,1064811976.0
Dài hạn,Dài hạn,Dài hạn,123.326.411.304,36.470.053.146,123326411304.0,36470053146.0
Công cụ dụng cụ chờ phân bổ,Công cụ dụng cụ chờ phân bổ,Công cụ dụng cụ chờ phân bổ,53.667.423.938,14.551.099.241,53667423938.0,14551099241.0
Tiền sử dụng đất chờ phân bổ,Tiền sử dụng đất chờ phân bổ,Tiền sử dụng đất chờ phân bổ,65.559.228.031,17.425.580.800,65559228031.0,17425580800.0
Chi phí sửa chữa,Chi phí sửa chữa,Chi phí sửa chữa,59.427.083,921.642.813,59427083.0,921642813.0
Chi phí trả trước khác,Chi phí trả trước khác,Chi phí trả trước khác,4.040.332.252,3.571.730.292,4040332252.0,3571730292.0
Cộng,Cộng,Cộng,304.552.137.408,205.827.632.453,304552137408.0,205827632453.0
