row_label_raw,row_label_full,col_0,Contributed capital,Share premium,Other owners' capital,Investment and development funds,Profit after tax retained,Non-controlling interests,Unit: VND Total,numeric__Contributed capital,numeric__Share premium,numeric__Other owners' capital,numeric__Investment and development funds,numeric__Profit after tax retained,numeric__Non-controlling interests,numeric__Unit: VND Total
Beginning balance of previous year (i),Beginning balance of previous year (i),Beginning balance of previous year (i),"6,098,519,950,000","1,046,337,538,421","14,895,110,000","84,750,836,222","405,249,380,081","243,805,067,311","7,893,557,882,035",,,,,,,
Profit of the previous year,Profit of the previous year,Profit of the previous year,-,-,-,-,"114,535,926,550","(12,631,627,838)","101,904,298,712",,,,,,,
Transfer to bonus and welfare fund,Transfer to bonus and welfare fund,Transfer to bonus and welfare fund,-,-,-,-,"(9,359,048,152)","(76,177,024)","(9,435,225,176)",,,,,,,
Change in ownership of subsidiaries,Change in ownership of subsidiaries,Change in ownership of subsidiaries,-,-,-,-,"41,017,975,505","14,265,614,040","55,283,589,545",,,,,,,
Ending balance of previous year,Ending balance of previous year,Ending balance of previous year,"6,098,519,950,000","1,046,337,538,421","14,895,110,000","84,750,836,222","551,444,233,984","245,362,876,489","8,041,310,545,116",,,,,,,
Stock dividend,Stock dividend,Stock dividend,"365,791,960,000",-,-,-,"(365,791,960,000)",-,-,,,,,,,
Offering of shares to existing shareholders (ii),Offering of shares to existing shareholders (ii),Offering of shares to existing shareholders (ii),"1,500,000,000,000","299,564,260,000",-,-,-,-,"1,799,564,260,000",,,,,,,
Profit of the current year,Profit of the current year,Profit of the current year,-,-,-,-,"646,459,231,632","(40,052,424,044)","606,406,807,588",,,,,,,
Transfer to investment and development fund,Transfer to investment and development fund,Transfer to investment and development fund,-,-,-,"196,073,920","(196,073,920)",-,-,,,,,,,
Transfer to bonus and welfare fund,Transfer to bonus and welfare fund,Transfer to bonus and welfare fund,-,-,-,-,"(14,504,710,999)","(1,209,795,832)","(15,714,506,831)",,,,,,,
Stock dividend distributed by a subsidiary,Stock dividend distributed by a subsidiary,Stock dividend distributed by a subsidiary,-,-,"1,651,010,000",-,"(1,651,010,000)",-,-,,,,,,,
Cash dividend distributed by a subsidiary,Cash dividend distributed by a subsidiary,Cash dividend distributed by a subsidiary,-,-,-,-,-,"(1,072,623,429)","(1,072,623,429)",,,,,,,
Repurchase of shares from non-controlling interests,Repurchase of shares from non-controlling interests,Repurchase of shares from non-controlling interests,-,-,-,-,"(244,097,136,113)","(176,994,878,887)","(421,092,015,000)",,,,,,,
Change in ownership of subsidiaries,Change in ownership of subsidiaries,Change in ownership of subsidiaries,-,-,-,-,"(9,849,631,184)","26,064,176,007","16,214,544,823",,,,,,,
Ending balance of current year,Ending balance of current year,Ending balance of current year,"7,964,311,910,000","1,345,901,798,421","16,546,120,000","84,946,910,142","561,812,943,400","52,097,330,304","10,025,617,012,267",,,,,,,
