row_label_raw,row_label_full,col_0,Current year VND,Previous year VND,numeric__Current year VND,numeric__Previous year VND
Fines received on contract violation,Fines received on contract violation,Fines received on contract violation,"21,087,851,728","14,522,904,076",,
Income from late payment penalties,Income from late payment penalties,Income from late payment penalties,"5,597,139,983","3,121,746,635",,
Reversal of construction warranty provision costs,Reversal of construction warranty provision costs,Reversal of construction warranty provision costs,"5,199,989,276",-,,
Gain on disposal of fixed assets,Gain on disposal of fixed assets,Gain on disposal of fixed assets,"198,442,060","1,142,308,422",,
Gain on write-off of account payables,Gain on write-off of account payables,Gain on write-off of account payables,"46,580,858","89,339,779",,
Others,Others,Others,"6,472,864,897","1,994,986,274",,
Total,Total,Total,"38,602,868,802","20,871,285,186",,
