row_label_raw,row_label_full,col_0,End of year,End of year_1,Beginning of year,Beginning of year_1,numeric__End of year,numeric__End of year_1,numeric__Beginning of year,numeric__Beginning of year_1
,,,Original cost VND,Provision VND,Original cost VND,Provision VND,,,,
Properties in progress (*),Properties in progress (*),Properties in progress (*),"6,370,546,818,260",-,"7,882,376,012,567",-,,,,
Work in process,Work in process,Work in process,"124,068,936,088",-,"98,045,109,502",-,,,,
Finished real estate,Finished real estate,Finished real estate,"44,857,005,572",-,"79,874,080,522",-,,,,
Raw materials,Raw materials,Raw materials,"58,401,056,389 (2,433,505,584)","58,401,056,389 (2,433,505,584)","61,078,042,115 (2,433,505,584)","61,078,042,115 (2,433,505,584)",,,,
Tools and supplies,Tools and supplies,Tools and supplies,"9,237,742,440",-,"9,853,318,122",-,,,,
Finished goods,Finished goods,Finished goods,"21,775,392,288",-,"24,634,204,400",-,,,,
Merchandise,Merchandise,Merchandise,"901,905,813",-,"1,178,360,789",-,,,,
Total,Total,Total,"6,629,788,856,850 (2,433,505,584)","6,629,788,856,850 (2,433,505,584)","8,157,039,128,017 (2,433,505,584)","8,157,039,128,017 (2,433,505,584)",,,,
