row_label_raw,row_label_full,col_0,Current year VND,Previous year VND,numeric__Current year VND,numeric__Previous year VND
Deferred income tax assets,Deferred income tax assets,Deferred income tax assets,"28,270,503,849","12,781,346,371",,
Deferred income tax liabilities,Deferred income tax liabilities,Deferred income tax liabilities,"(23,230,853,263)","(27,586,977,645)",,
Beginning balance of the year,Beginning balance of the year,Beginning balance of the year,"5,039,650,586","(14,805,631,274)",,
Income statement charged,Income statement charged,Income statement charged,"(31,784,279,446)","19,910,671,333",,
Impact of business combination during the year,Impact of business combination during the year,Impact of business combination during the year,"99,209,510","(65,389,473)",,
Ending balance of the year,Ending balance of the year,Ending balance of the year,"(26,645,419,350)","5,039,650,586",,
In which:,In which:,In which:,,,,
Deferred income tax assets,Deferred income tax assets,Deferred income tax assets,"25,938,439,840","28,270,503,849",,
Deferred income tax liabilities,Deferred income tax liabilities,Deferred income tax liabilities,"(52,583,859,190)","(23,230,853,263)",,
