row_label_raw,row_label_full,b. Đầu tư vào công ty liên kết,Số cuối năm > Tỷ lệ %,Số cuối năm > Giá trị theo phương pháp vốn chủ sở hữu VND,Số đầu năm > Tỷ lệ %,Số đầu năm > Giá trị theo phương pháp vốn chủ sở hữu VND,numeric__Số cuối năm > Tỷ lệ %,numeric__Số cuối năm > Giá trị theo phương pháp vốn chủ sở hữu VND,numeric__Số đầu năm > Tỷ lệ %,numeric__Số đầu năm > Giá trị theo phương pháp vốn chủ sở hữu VND
Công ty CP DICERA Holdings,Công ty CP DICERA Holdings,Công ty CP DICERA Holdings,"25,33",205.303.662.103,"35,89",185.758.119.153,25.33,205303662103.0,35.89,185758119153.0
Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,36,47.233.838.615,36,46.834.604.975,36.0,47233838615.0,36.0,46834604975.0
Công ty CP Bất động sản D.I.C,Công ty CP Bất động sản D.I.C,Công ty CP Bất động sản D.I.C,"42,68",71.852.693.307,"42,68",63.844.532.031,42.68,71852693307.0,42.68,63844532031.0
Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,"43,35",,"43,35",,43.35,,43.35,
Cộng,Cộng,Cộng,,324.390.194.025,,296.437.256.159,,324390194025.0,,296437256159.0
