row_label_raw,row_label_full,Item,Code,Current year,Previous year,numeric__Code,numeric__Current year,numeric__Previous year
I. Cash flows from operating activities,I. Cash flows from operating activities,I. Cash flows from operating activities,I. Cash flows from operating activities,I. Cash flows from operating activities,I. Cash flows from operating activities,,,
1. Profit before tax,I. Cash flows from operating activities > 1. Profit before tax,1. Profit before tax,01,"824,250,121,251","158,088,411,944",1.0,,
2. Adjustments for,2. Adjustments for,2. Adjustments for,2. Adjustments for,2. Adjustments for,2. Adjustments for,,,
- Depreciation,2. Adjustments for > - Depreciation,- Depreciation,02,"72,606,729,668","68,327,580,348",2.0,,
- Provision,2. Adjustments for > - Provision,- Provision,03,"4,104,253,785","(30,819,349,881)",3.0,,
- Foreign exchange (gains)/losses arising from revaluation of monetary accounts,2. Adjustments for > - Foreign exchange (gains)/losses arising from revaluation of monetary accounts,- Foreign exchange (gains)/losses arising from revaluation of monetary accounts,04,"(2,666,544)","(7,778,912)",4.0,,
- Profits/losses from investing activities,2. Adjustments for > - Profits/losses from investing activities,- Profits/losses from investing activities,05,"(81,424,653,117)","(116,715,476,840)",5.0,,
- Interest and bond issuance expense,2. Adjustments for > - Interest and bond issuance expense,- Interest and bond issuance expense,06,"97,242,285,512","47,361,629,699",6.0,,
3. Operating profit before changes in working capital,2. Adjustments for > 3. Operating profit before changes in working capital,3. Operating profit before changes in working capital,08,"916,776,070,555","126,235,016,358",8.0,,
- Decrease/Increase in receivables,2. Adjustments for > - Decrease/Increase in receivables,- Decrease/Increase in receivables,09,"(1,866,500,855)","(591,350,590,610)",9.0,,
- Decrease/Increase in inventories,2. Adjustments for > - Decrease/Increase in inventories,- Decrease/Increase in inventories,10,"1,527,250,271,167","(844,304,986,311)",10.0,,
- Decrease/Increase in payables,2. Adjustments for > - Decrease/Increase in payables,- Decrease/Increase in payables,11,"92,481,560,788","896,844,494,509",11.0,,
- Decrease/Increase in prepaid expenses,2. Adjustments for > - Decrease/Increase in prepaid expenses,- Decrease/Increase in prepaid expenses,12,"(98,724,504,955)","(2,970,373,496)",12.0,,
- Interest paid,2. Adjustments for > - Interest paid,- Interest paid,14,"(95,926,061,917)","(36,917,249,242)",14.0,,
- Corporate income tax paid,2. Adjustments for > - Corporate income tax paid,- Corporate income tax paid,15,"(114,591,216,537)","(63,792,280,373)",15.0,,
- Other cash outflows for operating activities,2. Adjustments for > - Other cash outflows for operating activities,- Other cash outflows for operating activities,17,"(57,592,183,297)","(13,708,486,379)",17.0,,
Net cash flows from operating activities,2. Adjustments for > Net cash flows from operating activities,Net cash flows from operating activities,20,"2,167,807,434,949","(529,964,455,544)",20.0,,
II. Cash flow from investing activities,II. Cash flow from investing activities,II. Cash flow from investing activities,II. Cash flow from investing activities,II. Cash flow from investing activities,II. Cash flow from investing activities,,,
1. Purchase and construction of fixed assets,II. Cash flow from investing activities > 1. Purchase and construction of fixed assets,1. Purchase and construction of fixed assets,21,"(590,377,025,287)","(60,772,066,649)",21.0,,
2. Proceeds from disposals of fixed assets,II. Cash flow from investing activities > 2. Proceeds from disposals of fixed assets,2. Proceeds from disposals of fixed assets,22,"19,114,327,950","23,391,426,870",22.0,,
3. Loans to other entities and payments for purchase of debt instruments of other entities,II. Cash flow from investing activities > 3. Loans to other entities and payments for purchase of debt instruments of other entities,3. Loans to other entities and payments for purchase of debt instruments of other entities,23,"(300,598,000,000)","(1,360,528,152,415)",23.0,,
4. Collections from borrowers and proceeds from sale of debt instruments of other entities,II. Cash flow from investing activities > 4. Collections from borrowers and proceeds from sale of debt instruments of other entities,4. Collections from borrowers and proceeds from sale of debt instruments of other entities,24,"1,076,562,637,167","514,306,552,899",24.0,,
5. Payments for investments in other entities,II. Cash flow from investing activities > 5. Payments for investments in other entities,5. Payments for investments in other entities,25,"(150,043,635,000)","(1,154,549,483,390)",25.0,,
6. Proceeds from sale of investments in other entities,II. Cash flow from investing activities > 6. Proceeds from sale of investments in other entities,6. Proceeds from sale of investments in other entities,26,"103,641,843,615","186,964,211,640",26.0,,
7. Interest and dividend received,II. Cash flow from investing activities > 7. Interest and dividend received,7. Interest and dividend received,27,"13,556,380,203","129,184,055,407",27.0,,
Net cash flows from investing activities,II. Cash flow from investing activities > Net cash flows from investing activities,Net cash flows from investing activities,30,"171,856,528,648","(1,722,003,455,638)",30.0,,
III. Cash flows from financing activities,III. Cash flows from financing activities,III. Cash flows from financing activities,III. Cash flows from financing activities,III. Cash flows from financing activities,III. Cash flows from financing activities,,,
1. Net cash from issuance of shares,III. Cash flows from financing activities > 1. Net cash from issuance of shares,1. Net cash from issuance of shares,31,"1,799,564,260,000","17,971,718,747",31.0,,
2. Proceeds from borrowings,III. Cash flows from financing activities > 2. Proceeds from borrowings,2. Proceeds from borrowings,33,"1,179,071,205,542","2,935,272,715,983",33.0,,
3. Repayment of borrowings,III. Cash flows from financing activities > 3. Repayment of borrowings,3. Repayment of borrowings,34,"(2,822,245,217,584)","(2,223,419,701,791)",34.0,,
4. Payment of principal of finance lease liabilities,III. Cash flows from financing activities > 4. Payment of principal of finance lease liabilities,4. Payment of principal of finance lease liabilities,35,"(160,631,669)",-,35.0,,
5. Dividend paid,III. Cash flows from financing activities > 5. Dividend paid,5. Dividend paid,36,"(1,883,296,965)","(4,826,950)",36.0,,
Net cash flows from financing activities,III. Cash flows from financing activities > Net cash flows from financing activities,Net cash flows from financing activities,40,"154,346,319,324","729,819,905,989",40.0,,
