row_label_raw,row_label_full,RESOURCE,Code,Note,End of year,Beginning of year,numeric__Code,numeric__Note,numeric__End of year,numeric__Beginning of year
C. LIABILITIES,C. LIABILITIES,C. LIABILITIES,300,,"8,934,021,747,589","10,498,013,036,060",300.0,,,
I. Current liabilities,I. Current liabilities,I. Current liabilities,310,,"7,824,348,151,318","7,961,859,074,539",310.0,,,
1. Short-term trade payables,1. Short-term trade payables,1. Short-term trade payables,311,V.16,"528,873,742,156","510,566,784,339",311.0,,,
2. Short-term advances from customers,2. Short-term advances from customers,2. Short-term advances from customers,312,V.17,"3,035,371,991,666","2,426,153,517,149",312.0,,,
3. Statutory obligations,3. Statutory obligations,3. Statutory obligations,313,V.18,"457,597,616,126","97,348,986,765",313.0,,,
4. Payables to employees,4. Payables to employees,4. Payables to employees,314,,"47,091,925,009","34,102,128,672",314.0,,,
5. Short-term accrued expenses,5. Short-term accrued expenses,5. Short-term accrued expenses,315,V.19,"293,780,514,994","346,731,546,456",315.0,,,
6. Short-term unearned revenues,6. Short-term unearned revenues,6. Short-term unearned revenues,318,V.20,"47,434,790,726","56,562,684,930",318.0,,,
7. Other short-term payables,7. Other short-term payables,7. Other short-term payables,319,V.21,"2,083,680,848,541","2,864,859,159,683",319.0,,,
8. Short-term loan and finance lease,8. Short-term loan and finance lease,8. Short-term loan and finance lease,320,V.24,"1,323,041,055,739","1,572,638,801,780",320.0,,,
9. Short-term provisions,9. Short-term provisions,9. Short-term provisions,321,V.22,"165,621,723","3,707,743,661",321.0,,,
10. Reward and welfare funds,10. Reward and welfare funds,10. Reward and welfare funds,322,,"7,310,044,638","49,187,721,104",322.0,,,
II. Long-term liabilities,II. Long-term liabilities,II. Long-term liabilities,330,,"1,109,673,596,271","2,536,153,961,521",330.0,,,
1. Long-term unearned revenues,1. Long-term unearned revenues,1. Long-term unearned revenues,336,V.20,"107,694,335,396","181,411,119,784",336.0,,,
2. Other long-term payables,2. Other long-term payables,2. Other long-term payables,337,V.21,"34,686,562,534","51,836,344,172",337.0,,,
3. Long-term loan and finance lease,3. Long-term loan and finance lease,3. Long-term loan and finance lease,338,V.24,"914,451,250,670","2,276,905,408,614",338.0,,,
4. Deferred tax liabilities,4. Deferred tax liabilities,4. Deferred tax liabilities,341,"V.23,VI.11","52,583,859,190","23,230,853,263",341.0,,,
5. Long-term provisions,5. Long-term provisions,5. Long-term provisions,342,V.22,"257,588,481","2,770,235,688",342.0,,,
D. OWNERS' EQUITY,D. OWNERS' EQUITY,D. OWNERS' EQUITY,400,,"10,025,617,012,267","8,041,310,545,116",400.0,,,
I. Owners' equity,I. Owners' equity,I. Owners' equity,410,V.25,"10,025,617,012,267","8,041,310,545,116",410.0,,,
1. Owners' contributed capital,1. Owners' contributed capital,1. Owners' contributed capital,411,,"7,964,311,910,000","6,098,519,950,000",411.0,,,
- Ordinary shares with voting rights,- Ordinary shares with voting rights,- Ordinary shares with voting rights,411a,,"7,964,311,910,000","6,098,519,950,000",,,,
- Preference shares,- Preference shares,- Preference shares,411b,,-,-,,,,
2. Share premium,- Preference shares > 2. Share premium,2. Share premium,412,,"1,345,901,798,421","1,046,337,538,421",412.0,,,
3. Other owners' capital,- Preference shares > 3. Other owners' capital,3. Other owners' capital,414,,"16,546,120,000","14,895,110,000",414.0,,,
4. Investment and development fund,- Preference shares > 4. Investment and development fund,4. Investment and development fund,418,,"84,946,910,142","84,750,836,222",418.0,,,
5. Retained earnings,- Preference shares > 5. Retained earnings,5. Retained earnings,421,,"561,812,943,400","551,444,233,984",421.0,,,
- Retained earnings accumulated to the prior year-end,- Retained earnings accumulated to the prior year-end,- Retained earnings accumulated to the prior year-end,421a,,"169,300,479,065","436,908,307,434",,,,
- Retained earnings of current period,- Retained earnings of current period,- Retained earnings of current period,421b,,"392,512,464,335","114,535,926,550",,,,
6. Non-controlling interests,- Retained earnings of current period > 6. Non-controlling interests,6. Non-controlling interests,429,,"52,097,330,304","245,362,876,489",429.0,,,
TOTAL RESOURCE,- Retained earnings of current period > TOTAL RESOURCE,TOTAL RESOURCE,440,,"18,959,638,759,856","18,539,323,581,176",440.0,,,
