row_label_raw,row_label_full,Current year,Real estate VND,Trading and services VND,Construction VND,Elimination VND,Total VND,numeric__Real estate VND,numeric__Trading and services VND,numeric__Construction VND,numeric__Elimination VND,numeric__Total VND
Segment revenue,Segment revenue,Segment revenue,"4,241,841,104,559","168,462,731,663","498,937,353,932","(191,573,951,327)","4,717,667,238,827",,,,,
Segment cost,Segment cost,Segment cost,"(3,159,905,117,132)","(156,931,231,186)","(477,341,972,608)","192,762,863,851","(3,601,415,457,075)",,,,,
Segment results,Segment results,Segment results,"1,081,935,987,427","11,531,500,477","21,595,381,324","1,188,912,524","1,116,251,781,752",,,,,
Unallocated expense,Unallocated expense,Unallocated expense,,,,,"(271,536,257,152)",,,,,
Finance income,Finance income,Finance income,,,,,"65,972,872,839",,,,,
Finance expenses,Finance expenses,Finance expenses,,,,,"(100,718,815,894)",,,,,
Share in profit of associates,Share in profit of associates,Share in profit of associates,,,,,"11,447,968,971",,,,,
Other income,Other income,Other income,,,,,"38,602,868,802",,,,,
Other expenses,Other expenses,Other expenses,,,,,"(35,770,298,067)",,,,,
Current corporate income tax expenses,Current corporate income tax expenses,Current corporate income tax expenses,,,,,"(186,158,243,727)",,,,,
Deferred corporate income tax expenses,Deferred corporate income tax expenses,Deferred corporate income tax expenses,,,,,"(31,685,069,936)",,,,,
Profit after tax,Profit after tax,Profit after tax,,,,,"606,406,807,588",,,,,
Non-controlling interest,Non-controlling interest,Non-controlling interest,,,,,"(40,052,424,044)",,,,,
Net profit after tax,Net profit after tax,Net profit after tax,,,,,"646,459,231,632",,,,,
As at the end of year,As at the end of year,As at the end of year,,,,,,,,,,
Assets and liabilities,Assets and liabilities,Assets and liabilities,,,,,,,,,,
Segment assets,Segment assets,Segment assets,"13,007,289,960,913","49,583,969,761","782,432,651,413","(307,452,899,509)","13,531,853,682,578",,,,,
Unallocated assets,Unallocated assets,Unallocated assets,,,,,"5,427,785,077,278",,,,,
Total assets,Total assets,Total assets,,,,,"18,959,638,759,856",,,,,
Segment liabilities,Segment liabilities,Segment liabilities,"7,384,688,470,600","505,347,603,218","710,556,749,173","(266,092,567,816)","8,334,500,255,175",,,,,
Unallocated liabilities,Unallocated liabilities,Unallocated liabilities,,,,,"599,521,492,414",,,,,
Total liabilities,Total liabilities,Total liabilities,,,,,"8,934,021,747,589",,,,,
