row_label_raw,row_label_full,col_0,Land use rights,Computer software,Total,numeric__Land use rights,numeric__Computer software,numeric__Total
Original cost,Original cost,Original cost,Original cost,Original cost,Original cost,,,
Opening balance,Opening balance,Opening balance,"86,974,148,811","2,801,577,404","89,775,726,215",,,
Purchases,Purchases,Purchases,"59,693,669",-,"59,693,669",,,
Closing balance,Closing balance,Closing balance,"87,033,842,480","2,801,577,404","89,835,419,884",,,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,,,
Opening balance,Opening balance,Opening balance,"2,172,952,101","1,309,824,742","3,482,776,843",,,
Depreciation,Depreciation,Depreciation,"463,523,878","229,150,212","692,674,090",,,
Closing balance,Closing balance,Closing balance,"2,636,475,979","1,538,974,954","4,175,450,933",,,
Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,,,
Opening,Opening,Opening,"84,801,196,710","1,491,752,662","86,292,949,372",,,
Closing,Closing,Closing,"84,397,366,501","1,262,602,450","85,659,968,951",,,
