row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
Số dư đầu năm trước (i),Số dư đầu năm trước (i),Số dư đầu năm trước (i),6.098.519.950.000,1.046.337.538.421,14.895.110.000,84.750.836.222,405.249.380.081,243.805.067.311,7.893.557.882.035,6098519950000.0,1046337538421.0,14895110000.0,84750836222.0,405249380081.0,243805067311.0,7893557882035.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,114.535.926.550,(12.631.627.838),101.904.298.712,,,,,114535926550.0,-12631627838.0,101904298712.0
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,-,(9.359.048.152),(76.177.024),(9.435.225.176),,,,,-9359048152.0,-76177024.0,-9435225176.0
Tăng/(giảm) do thay đổi tỷ lệ sở hữu công ty con,Tăng/(giảm) do thay đổi tỷ lệ sở hữu công ty con,Tăng/(giảm) do thay đổi tỷ lệ sở hữu công ty con,-,-,-,-,41.017.975.505,14.265.614.040,55.283.589.545,,,,,41017975505.0,14265614040.0,55283589545.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,6.098.519.950.000,1.046.337.538.421,14.895.110.000,84.750.836.222,551.444.233.984,245.362.876.489,8.041.310.545.116,6098519950000.0,1046337538421.0,14895110000.0,84750836222.0,551444233984.0,245362876489.0,8041310545116.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,365.791.960.000,-,-,-,(365.791.960.000),-,-,365791960000.0,,,,-365791960000.0,,
Chào bán cổ phiếu cho cổ đông hiện hữu (ii),Chào bán cổ phiếu cho cổ đông hiện hữu (ii),Chào bán cổ phiếu cho cổ đông hiện hữu (ii),1.500.000.000.000,299.564.260.000,-,-,-,-,1.799.564.260.000,1500000000000.0,299564260000.0,,,,,1799564260000.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,-,646.459.231.632,(40.052.424.044),606.406.807.588,,,,,646459231632.0,-40052424044.0,606406807588.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,196.073.920,(196.073.920),-,-,,,,196073920.0,-196073920.0,,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,,(14.504.710.999),(1.209.795.832),(15.714.506.831),,,,,-14504710999.0,-1209795832.0,-15714506831.0
Công ty con chia cổ tức bằng cổ phiếu,Công ty con chia cổ tức bằng cổ phiếu,Công ty con chia cổ tức bằng cổ phiếu,-,-,1.651.010.000,-,(1.651.010.000),-,-,,,1651010000.0,,-1651010000.0,,
Công ty con chia cổ tức bằng tiền,Công ty con chia cổ tức bằng tiền,Công ty con chia cổ tức bằng tiền,-,-,-,-,-,(1.072.623.429),(1.072.623.429),,,,,,-1072623429.0,-1072623429.0
Mua lại cổ phần của cổ đông không kiểm soát,Mua lại cổ phần của cổ đông không kiểm soát,Mua lại cổ phần của cổ đông không kiểm soát,-,-,-,-,(244.097.136.113),(176.994.878.887),(421.092.015.000),,,,,-244097136113.0,-176994878887.0,-421092015000.0
Tăng/(giảm) do thay đổi tỷ lệ sở hữu công ty con,Tăng/(giảm) do thay đổi tỷ lệ sở hữu công ty con,Tăng/(giảm) do thay đổi tỷ lệ sở hữu công ty con,-,-,-,-,(9.849.631.184),26.064.176.007,16.214.544.823,,,,,-9849631184.0,26064176007.0,16214544823.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,7.964.311.910.000,1.345.901.798.421,16.546.120.000,84.946.910.142,561.812.943.400,52.097.330.304,10.025.617.012.267,7964311910000.0,1345901798421.0,16546120000.0,84946910142.0,561812943400.0,52097330304.0,10025617012267.0
