row_label_raw,row_label_full,Năm trước,Kinh doanh bất động sản VND,Thương mại và dịch vụ VND,Xây dựng VND,Loại trừ nội bộ VND,Tổng cộng VND,numeric__Kinh doanh bất động sản VND,numeric__Thương mại và dịch vụ VND,numeric__Xây dựng VND,numeric__Loại trừ nội bộ VND,numeric__Tổng cộng VND
Doanh thu bộ phận,Doanh thu bộ phận,Doanh thu bộ phận,559.700.760.470,140.422.748.108,929.971.947.792,(329.096.513.042),1.300.998.943.328,559700760470.0,140422748108.0,929971947792.0,-329096513042.0,1300998943328.0
Chi phí bộ phận,Chi phí bộ phận,Chi phí bộ phận,(375.034.982.365),(129.783.434.827),(745.452.253.659),247.467.098.388,(1.002.803.572.463),-375034982365.0,-129783434827.0,-745452253659.0,247467098388.0,-1002803572463.0
Kết quả kinh doanh,Kết quả kinh doanh,Kết quả kinh doanh,184.665.778.105,10.639.313.281,184.519.694.133,(81.629.414.654),298.195.370.865,184665778105.0,10639313281.0,184519694133.0,-81629414654.0,298195370865.0
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,,,,,(223.918.917.585),,,,,-223918917585.0
Thu nhập tài chính,Thu nhập tài chính,Thu nhập tài chính,,,,,117.144.956.019,,,,,117144956019.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,(28.480.620.434),,,,,-28480620434.0
Lãi trong công ty liên kết,Lãi trong công ty liên kết,Lãi trong công ty liên kết,,,,,(436.068.748),,,,,-436068748.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,20.871.285.186,,,,,20871285186.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,(25.287.593.359),,,,,-25287593359.0
Thuế thu nhập doanh nghiệp hiện hành,Thuế thu nhập doanh nghiệp hiện hành,Thuế thu nhập doanh nghiệp hiện hành,,,,,(76.029.395.092),,,,,-76029395092.0
Thuế thu nhập doanh nghiệp hoãn lại,Thuế thu nhập doanh nghiệp hoãn lại,Thuế thu nhập doanh nghiệp hoãn lại,,,,,19.845.281.860,,,,,19845281860.0
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,,,,,101.904.298.712,,,,,101904298712.0
Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,,,,,(12.631.627.838),,,,,-12631627838.0
Lợi nhuận sau thuế của cổ đông của công ty mẹ,Lợi nhuận sau thuế của cổ đông của công ty mẹ,Lợi nhuận sau thuế của cổ đông của công ty mẹ,,,,,114.535.926.550,,,,,114535926550.0
Vào ngày đầu năm,Vào ngày đầu năm,Vào ngày đầu năm,,,,,,,,,,
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,,,,,
Tài sản bộ phận,Tài sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,14.396.931.679.304,50.548.349.963,714.768.079.939,(273.631.043.745),14.888.617.065.461,14396931679304.0,50548349963.0,714768079939.0,-273631043745.0,14888617065461.0
Tài sản không phân bổ,Tài sản và công nợ > Tài sản không phân bổ,Tài sản không phân bổ,,,,,3.650.706.515.715,,,,,3650706515715.0
Tổng tài sản,Tài sản và công nợ > Tổng tài sản,Tổng tài sản,,,,,18.539.323.581.176,,,,,18539323581176.0
Công nợ bộ phận,Tài sản và công nợ > Công nợ bộ phận,Công nợ bộ phận,9.313.577.709.872,530.889.895.618,598.600.256.819,(207.238.839.574),10.235.829.022.735,9313577709872.0,530889895618.0,598600256819.0,-207238839574.0,10235829022735.0
Công nợ không phân bổ,Tài sản và công nợ > Công nợ không phân bổ,Công nợ không phân bổ,,,,,262.184.013.325,,,,,262184013325.0
Tổng công nợ,Tài sản và công nợ > Tổng công nợ,Tổng công nợ,,,,,10.498.013.036.060,,,,,10498013036060.0
