row_label_raw,row_label_full,col_0,Công ty CP Bất động sản D.I.C,Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Công ty CP DICERA Holdings,Công ty CP Đầu tư Phát triển Phương Nam,Cộng,numeric__Công ty CP Bất động sản D.I.C,numeric__Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,numeric__Công ty CP DICERA Holdings,numeric__Công ty CP Đầu tư Phát triển Phương Nam,numeric__Cộng
Giá gốc khoản đầu tư,Giá gốc khoản đầu tư,Giá gốc khoản đầu tư,Giá gốc khoản đầu tư,Giá gốc khoản đầu tư,Giá gốc khoản đầu tư,Giá gốc khoản đầu tư,Giá gốc khoản đầu tư,,,,,
Vào ngày đầu năm,Giá gốc khoản đầu tư > Vào ngày đầu năm,Vào ngày đầu năm,19.938.000.000,30.582.504.000,171.602.184.500,225.400.000.000,447.522.688.500,19938000000.0,30582504000.0,171602184500.0,225400000000.0,447522688500.0
Tăng trong năm,Giá gốc khoản đầu tư > Tăng trong năm,Tăng trong năm,-,-,103.627.370.000,-,103.627.370.000,,,103627370000.0,,103627370000.0
Giám trong năm,Giá gốc khoản đầu tư > Giám trong năm,Giám trong năm,-,-,(71.561.173.273),-,(71.561.173.273),,,-71561173273.0,,-71561173273.0
Vào ngày cuối năm,Giá gốc khoản đầu tư > Vào ngày cuối năm,Vào ngày cuối năm,19.938.000.000,30.582.504.000,203.668.381.227,225.400.000.000,479.588.885.227,19938000000.0,30582504000.0,203668381227.0,225400000000.0,479588885227.0
Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư,,,,,
Vào ngày đầu năm,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư > Vào ngày đầu năm,Vào ngày đầu năm,43.906.532.031,16.252.100.975,14.155.934.653,(225.400.000.000),(151.085.432.341),43906532031.0,16252100975.0,14155934653.0,-225400000000.0,-151085432341.0
Lợi nhuận (lỗ) được chia,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư > Lợi nhuận (lỗ) được chia,Lợi nhuận (lỗ) được chia,8.008.161.276,1.753.727.140,1.686.080.555,-,11.447.968.971,8008161276.0,1753727140.0,1686080555.0,,11447968971.0
Cổ tức,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư > Cổ tức,Cổ tức,-,(1.354.493.500),(10.362.737.000),-,(11.717.230.500),,-1354493500.0,-10362737000.0,,-11717230500.0
Giám trong năm,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư > Giám trong năm,Giám trong năm,-,-,(3.843.997.332),-,(3.843.997.332),,,-3843997332.0,,-3843997332.0
Vào ngày cuối năm,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư > Vào ngày cuối năm,Vào ngày cuối năm,51.914.693.307,16.651.334.615,1.635.280.876,(225.400.000.000),(155.198.691.202),51914693307.0,16651334615.0,1635280876.0,-225400000000.0,-155198691202.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Vào ngày đầu năm,Giá trị còn lại > Vào ngày đầu năm,Vào ngày đầu năm,63.844.532.031,46.834.604.975,185.758.119.153,-,296.437.256.159,63844532031.0,46834604975.0,185758119153.0,,296437256159.0
Vào ngày cuối năm,Giá trị còn lại > Vào ngày cuối năm,Vào ngày cuối năm,71.852.693.307,47.233.838.615,205.303.662.103,-,324.390.194.025,71852693307.0,47233838615.0,205303662103.0,,324390194025.0
