row_label_raw,row_label_full,col_0,Đơn vị tính: VND,numeric__Đơn vị tính: VND
,,,Quyền sử đất và hạ tầng cho thuê,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,208.549.462.773,208549462773.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,10.179.271.280,10179271280.0
Giảm do phân loại lại,Nguyên giá > Giảm do phân loại lại,Giảm do phân loại lại,(11.694.011.263),-11694011263.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,207.034.722.790,207034722790.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,49.882.796.406,49882796406.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,3.779.031.300,3779031300.0
Tăng do phân loại lại,Giá trị hao mòn luỹ kế > Tăng do phân loại lại,Tăng do phân loại lại,2.161.262.795,2161262795.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,55.823.090.501,55823090501.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,158.666.666.367,158666666367.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,151.211.632.289,151211632289.0
