row_label_raw,row_label_full,Năm nay,Kinh doanh bất động sản VND,Thương mại và dịch vụ VND,Xây dựng VND,Loại trừ nội bộ VND,Tổng cộng VND,numeric__Kinh doanh bất động sản VND,numeric__Thương mại và dịch vụ VND,numeric__Xây dựng VND,numeric__Loại trừ nội bộ VND,numeric__Tổng cộng VND
Doanh thu bộ phận,Doanh thu bộ phận,Doanh thu bộ phận,4.241.841.104.559(3.159.905.117.132),168.462.731.663(156.931.231.186),498.937.353.932(477.341.972.608),(191.573.951.327)192.762.863.851,4.717.667.238.827(3.601.415.457.075),,,,,
Chi phí bộ phận,Chi phí bộ phận,Chi phí bộ phận,,,,,,,,,,
Kết quả kinh doanh,Chi phí bộ phận > Kết quả kinh doanh,Kết quả kinh doanh,1.081.935.987.427,11.531.500.477,21.595.381.324,1.188.912.524,1.116.251.781.752(271.536.257.152),1081935987427.0,11531500477.0,21595381324.0,1188912524.0,
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,,,,,65.972.872.839(100.718.815.894),,,,,
Thu nhập tài chính,Thu nhập tài chính,Thu nhập tài chính,,,,,,,,,,
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,,,,,
Lỗ trong công ty liên kết,Chi phí tài chính > Lỗ trong công ty liên kết,Lỗ trong công ty liên kết,,,,,11.447.968.971,,,,,11447968971.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,38.602.868.802(35.770.298.067),,,,,
Chi phí khác,Chi phí khác,Chi phí khác,,,,,,,,,,
Thuế thu nhập doanh nghiệp hiện hành,Chi phí khác > Thuế thu nhập doanh nghiệp hiện hành,Thuế thu nhập doanh nghiệp hiện hành,,,,,(186.158.243.727),,,,,-186158243727.0
Thuế thu nhập doanh nghiệp hoãn lại,Chi phí khác > Thuế thu nhập doanh nghiệp hoãn lại,Thuế thu nhập doanh nghiệp hoãn lại,,,,,(31.685.069.936),,,,,-31685069936.0
Lợi nhuận sau thuế,Chi phí khác > Lợi nhuận sau thuế,Lợi nhuận sau thuế,,,,,606.406.807.588,,,,,606406807588.0
Lợi nhuận sau thuế của cổ đông không kiểm soát,Chi phí khác > Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,,,,,(40.052.424.044),,,,,-40052424044.0
Lợi nhuận sau thuế của cổ đông của công ty mẹ,Chi phí khác > Lợi nhuận sau thuế của cổ đông của công ty mẹ,Lợi nhuận sau thuế của cổ đông của công ty mẹ,,,,,646.459.231.632,,,,,646459231632.0
Vào ngày cuối năm,Vào ngày cuối năm,Vào ngày cuối năm,,,,,,,,,,
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,,,,,
Tài sản bộ phận,Tài sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,13.007.289.960.913,49.583.969.761,782.432.651.413,(307.452.899.509),13.531.853.682.578,13007289960913.0,49583969761.0,782432651413.0,-307452899509.0,13531853682578.0
Tài sản không phân bổ,Tài sản và công nợ > Tài sản không phân bổ,Tài sản không phân bổ,,,,,5.427.785.077.278,,,,,5427785077278.0
Tổng tài sản,Tài sản và công nợ > Tổng tài sản,Tổng tài sản,,,,,18.959.638.759.856,,,,,18959638759856.0
Công nợ bộ phận,Tài sản và công nợ > Công nợ bộ phận,Công nợ bộ phận,7.384.688.470.600,505.347.603.218,710.556.749.173,(266.092.567.816),8.334.500.255.175,7384688470600.0,505347603218.0,710556749173.0,-266092567816.0,8334500255175.0
Công nợ không phân bổ,Tài sản và công nợ > Công nợ không phân bổ,Công nợ không phân bổ,,,,,599.521.492.414,,,,,599521492414.0
Tổng công nợ,Tài sản và công nợ > Tổng công nợ,Tổng công nợ,,,,,8.934.021.747.589,,,,,8934021747589.0
