row_label_raw,row_label_full,col_0,End of year VND,Beginning of year VND,numeric__End of year VND,numeric__Beginning of year VND
Customers of Nam Vinh Yen New Urban Area Project,Customers of Nam Vinh Yen New Urban Area Project,Customers of Nam Vinh Yen New Urban Area Project,"1,361,483,792,899","1,224,531,014,134",,
Customers of Apartment A2-1 Vung Tau Center Point,Customers of Apartment A2-1 Vung Tau Center Point,Customers of Apartment A2-1 Vung Tau Center Point,"1,309,216,660,435","843,390,510,337",,
Customers of Vi Thanh Commercial Residential Area Project,Customers of Vi Thanh Commercial Residential Area Project,Customers of Vi Thanh Commercial Residential Area Project,"186,630,459,490","129,288,849,766",,
"Customers of Chi Linh Center, Vung Tau Project","Customers of Chi Linh Center, Vung Tau Project","Customers of Chi Linh Center, Vung Tau Project","54,100,278,152","57,792,277,689",,
Customers of Dai Phuoc Urban Area Project,Customers of Dai Phuoc Urban Area Project,Customers of Dai Phuoc Urban Area Project,"28,048,549,156","49,315,242,992",,
Customers of Hiep Phuoc Urban Area Project,Customers of Hiep Phuoc Urban Area Project,Customers of Hiep Phuoc Urban Area Project,"19,887,545,410","31,334,403,113",,
Customers of Cap Saint Jacques Complex Project,Customers of Cap Saint Jacques Complex Project,Customers of Cap Saint Jacques Complex Project,"15,876,448,226","35,299,528,472",,
Customers of other projects,Customers of other projects,Customers of other projects,"60,128,257,898","55,201,690,646",,
Total,Total,Total,"3,035,371,991,666","2,426,153,517,149",,
In which:,In which:,In which:,In which:,In which:,,
Related parties (Note VIII.2),Related parties (Note VIII.2),Related parties (Note VIII.2),"451,894,874,770","770,069,340,631",,
