row_label_raw,row_label_full,col_0,Unit: VND,numeric__Unit: VND
,,,Land use rights and Infrastructure for lease,
Original cost,Original cost,Original cost,Original cost,
Opening balance,Opening balance,Opening balance,"208,549,462,773",
Construction completed,Construction completed,Construction completed,"10,179,271,280",
Reclassify,Reclassify,Reclassify,"(11,694,011,263)",
Closing balance,Closing balance,Closing balance,"207,034,722,790",
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,
Opening balance,Opening balance,Opening balance,"49,882,796,406",
Depreciation,Depreciation,Depreciation,"3,779,031,300",
Reclassify,Reclassify,Reclassify,"2,161,262,795",
Closing balance,Closing balance,Closing balance,"55,823,090,501",
Net book value,Net book value,Net book value,Net book value,
Opening,Opening,Opening,"158,666,666,367",
Closing,Closing,Closing,"151,211,632,289",
