row_label_raw,row_label_full,Objects,End of year VND,Interest rate (%/year),Collaterals,numeric__End of year VND,numeric__Interest rate (%/year),numeric__Collaterals
Joint Stock Commercial Bank for Investment & Development of Vietnam - Ba Ria - Vung Tau Branch,Joint Stock Commercial Bank for Investment & Development of Vietnam - Ba Ria - Vung Tau Branch,Joint Stock Commercial Bank for Investment & Development of Vietnam - Ba Ria - Vung Tau Branch,"62,862,291,514",8.0-8.5%,"- 05 land plots of the Vi Thanh Commercial Residential Area Project, Hau Giang..",,,
Joint Stock Commercial Bank for Investment & Development of Vietnam - Ba Ria - Vung Tau Branch,Joint Stock Commercial Bank for Investment & Development of Vietnam - Ba Ria - Vung Tau Branch,Joint Stock Commercial Bank for Investment & Development of Vietnam - Ba Ria - Vung Tau Branch,"152,577,107,346",7%-10%,"- Land Use Right Certificates and ownership of assets attached to land for land plot No. 237, map sheet No. 37, and land plot No. 239, map sheet No. 37, located at No. 5, Chi Linh Urban Area, Rach Dua Ward, Ho Chi Minh City; and Land Use Right Certificate and ownership of assets attached to land at the Company's warehouse located in Tan Hai Commune. Deposit contract, Sunward ZYJ 860 hydraulic pile press; Camry ASV70L 2.5-2020 car; Toyota Hilux GUN135L-DTTSXU pickup truck; Elimak SC45/30 FC II hoist; Tower crane QTP6515-10T-022. A term deposit of 10 billion VND maintained at the bank.",,,
