row_label_raw,row_label_full,col_0,Current yearVND,Previous yearVND,numeric__Current yearVND,numeric__Previous yearVND
Total profit before tax,Total profit before tax,Total profit before tax,"824,250,121,251","158,088,411,944",,
At CIT rate of 20%,At CIT rate of 20%,At CIT rate of 20%,"164,850,024,250","31,617,682,389",,
Adjustments:,Adjustments:,Adjustments:,Adjustments:,Adjustments:,,
Allocation of goodwill,Allocation of goodwill,Allocation of goodwill,"3,689,761,225","3,590,561,442",,
Non-deductible expenses,Non-deductible expenses,Non-deductible expenses,"31,468,729,473","17,472,978,966",,
Tax loss for which no deferred tax assets was recognised,Tax loss for which no deferred tax assets was recognised,Tax loss for which no deferred tax assets was recognised,"24,710,605,764","13,108,375,227",,
Share of profits/(loss) from associates,Share of profits/(loss) from associates,Share of profits/(loss) from associates,"(2,289,593,794)","87,213,750",,
Income from dividends,Income from dividends,Income from dividends,"(5,396,524,182)","(9,863,194,984)",,
Provision for investments,Provision for investments,Provision for investments,"(99,209,510)","65,389,473",,
Income from the transfer of equity in associated companies,Income from the transfer of equity in associated companies,Income from the transfer of equity in associated companies,"768,799,466",-,,
CIT surplus from previous years,CIT surplus from previous years,CIT surplus from previous years,"143,768,226","90,751,593",,
Others,Others,Others,"(3,047,255)","14,355,376",,
Corporate income tax expenses (i),Corporate income tax expenses (i),Corporate income tax expenses (i),"217,843,313,663","56,184,113,232",,
Corporate income tax expense recognized in the consolidated income statement,Corporate income tax expense recognized in the consolidated income statement,Corporate income tax expense recognized in the consolidated income statement,Corporate income tax expense recognized in the consolidated income statement,Corporate income tax expense recognized in the consolidated income statement,,
Current corporate income tax,Current corporate income tax,Current corporate income tax,"186,158,243,727","76,029,395,092",,
Deferred corporate income tax,Deferred corporate income tax,Deferred corporate income tax,"31,685,069,936","(19,845,281,860)",,
,,,"217,843,313,663","56,184,113,232",,
