row_label_raw,row_label_full,col_0,End of year,End of year_1,Beginning of year,Beginning of year_1,numeric__End of year,numeric__End of year_1,numeric__Beginning of year,numeric__Beginning of year_1
,,,Cost VND,Book value VND,Cost VND,Book value VND,,,,
Short-term,Short-term,Short-term,"251,000,000,000","251,000,000,000","895,900,000,000","895,900,000,000",,,,
Term deposits (i),Term deposits (i),Term deposits (i),"251,000,000,000","251,000,000,000","895,900,000,000","895,900,000,000",,,,
Long-term,Long-term,Long-term,"9,000,000,000","9,000,000,000","30,000,000,000","30,000,000,000",,,,
Bonds (ii),Bonds (ii),Bonds (ii),"9,000,000,000","9,000,000,000","30,000,000,000","30,000,000,000",,,,
Total,Total,Total,"260,000,000,000","260,000,000,000","925,900,000,000","925,900,000,000",,,,
