row_label_raw,row_label_full,col_0,Nhà cửa vật kiến trúc,Máy móc thiết bị,Phương tiện vận tải,Thiết bị quản lý,Tài sản cố định khác,Đơn vị dtân: VND Tổng cộng,numeric__Nhà cửa vật kiến trúc,numeric__Máy móc thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị quản lý,numeric__Tài sản cố định khác,numeric__Đơn vị dtân: VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,707.046.614.188,331.174.559.419,77.987.215.372,20.423.065.859,23.195.759.984,1.159.827.214.822,707046614188.0,331174559419.0,77987215372.0,20423065859.0,23195759984.0,1159827214822.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,454.551.405.325,13.646.684.613,1.096.880.187,468.418.989,5.826.167.400,475.589.556.514,454551405325.0,13646684613.0,1096880187.0,468418989.0,5826167400.0,475589556514.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,614.870.257,-,-,-,-,614.870.257,614870257.0,,,,,614870257.0
Tăng do phân loại lại,Nguyên giá > Tăng do phân loại lại,Tăng do phân loại lại,11.694.011.263,-,-,-,-,11.694.011.263,11694011263.0,,,,,11694011263.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(282.978.835),(2.181.244.545),(218.073.279),-,(2.682.296.659),,-282978835.0,-2181244545.0,-218073279.0,,-2682296659.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.173.906.901.033,344.538.265.197,76.902.851.014,20.673.411.569,29.021.927.384,1.645.043.356.197,1173906901033.0,344538265197.0,76902851014.0,20673411569.0,29021927384.0,1645043356197.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,100.537.676.210,234.220.821.767,47.725.755.543,9.671.441.837,11.829.178.185,403.984.873.542,100537676210.0,234220821767.0,47725755543.0,9671441837.0,11829178185.0,403984873542.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,21.639.266.330,16.863.493.982,5.856.365.772,2.422.488.529,2.868.524.097,49.650.138.710,21639266330.0,16863493982.0,5856365772.0,2422488529.0,2868524097.0,49650138710.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(282.978.835),(1.951.624.650),(218.073.279),-,(2.452.676.764),,-282978835.0,-1951624650.0,-218073279.0,,-2452676764.0
Giảm do phân loại lại,Giá trị hao mòn luỹ kế > Giảm do phân loại lại,Giảm do phân loại lại,(2.161.262.795),-,-,-,-,(2.161.262.795),-2161262795.0,,,,,-2161262795.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,120.015.679.745,250.801.336.914,51.630.496.665,11.875.857.087,14.697.702.282,449.021.072.693,120015679745.0,250801336914.0,51630496665.0,11875857087.0,14697702282.0,449021072693.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,606.508.937.978,96.953.737.652,30.261.459.829,10.751.624.022,11.366.581.799,755.842.341.280,606508937978.0,96953737652.0,30261459829.0,10751624022.0,11366581799.0,755842341280.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,1.053.891.221.288,93.736.928.283,25.272.354.349,8.797.554.482,14.324.225.102,1.196.022.283.504,1053891221288.0,93736928283.0,25272354349.0,8797554482.0,14324225102.0,1196022283504.0
