row_label_raw,row_label_full,Purpose of capital use,According to the plan (VND),Accumulated amount used until 31/12/2025 (VND),Unspent amount at the date 31/12/2025 (VND),numeric__According to the plan (VND),numeric__Accumulated amount used until 31/12/2025 (VND),numeric__Unspent amount at the date 31/12/2025 (VND)
Purpose of capital use,Purpose of capital use,Purpose of capital use,(1),(2),(3) = (1) - (2),-1.0,-2.0,
"Investment in North Vung Tau New Urban Area Project, Ward 12, Ba Ria - Vung Tau Province (currently Phuoc Thang Ward, Ho Chi Minh City)","Investment in North Vung Tau New Urban Area Project, Ward 12, Ba Ria - Vung Tau Province (currently Phuoc Thang Ward, Ho Chi Minh City)","Investment in North Vung Tau New Urban Area Project, Ward 12, Ba Ria - Vung Tau Province (currently Phuoc Thang Ward, Ho Chi Minh City)","749,957,000,000","712,119,113,442","37,837,886,558",,,
Pay the outstanding amount to Tan Long Investment and Development Joint Stock Company,Pay the outstanding amount to Tan Long Investment and Development Joint Stock Company,Pay the outstanding amount to Tan Long Investment and Development Joint Stock Company,"749,900,000,000","749,900,000,000",-,,,
Total,Total,Total,"1,499,857,000,000","1,462,019,113,442","37,837,886,558",,,
