row_label_raw,row_label_full,col_0,"Buildings, structures",Machinery and equipment,Means of transport,Management equipment,Others,Unit: VND Total,"numeric__Buildings, structures",numeric__Machinery and equipment,numeric__Means of transport,numeric__Management equipment,numeric__Others,numeric__Unit: VND Total
Original cost,Original cost,Original cost,Original cost,Original cost,Original cost,Original cost,Original cost,Original cost,,,,,,
Opening balance,Opening balance,Opening balance,"707,046,614,188","331,174,559,419","77,987,215,372","20,423,065,859","23,195,759,984","1,159,827,214,822",,,,,,
Purchases,Purchases,Purchases,"454,551,405,325","13,646,684,613","1,096,880,187","468,418,989","5,826,167,400","475,589,556,514",,,,,,
Construction completed,Construction completed,Construction completed,"614,870,257",-,-,-,-,"614,870,257",,,,,,
Reclassify,Reclassify,Reclassify,"11,694,011,263",-,-,-,-,"11,694,011,263",,,,,,
"Liquidating, disposing","Liquidating, disposing","Liquidating, disposing",-,"(282,978,835)","(2,181,244,545)","(218,073,279)",-,"(2,682,296,659)",,,,,,
Closing balance,Closing balance,Closing balance,"1,173,906,901,033","344,538,265,197","76,902,851,014","20,673,411,569","29,021,927,384","1,645,043,356,197",,,,,,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,,,,,,
Opening balance,Opening balance,Opening balance,"100,537,676,210","234,220,821,767","47,725,755,543","9,671,441,837","11,829,178,185","403,984,873,542",,,,,,
Depreciation,Depreciation,Depreciation,"21,639,266,330","16,863,493,982","5,856,365,772","2,422,488,529","2,868,524,097","49,650,138,710",,,,,,
"Liquidating, disposing","Liquidating, disposing","Liquidating, disposing",-,"(282,978,835)","(1,951,624,650)","(218,073,279)",-,"(2,452,676,764)",,,,,,
Reclassify,Reclassify,Reclassify,"(2,161,262,795)",-,-,-,-,"(2,161,262,795)",,,,,,
Closing balance,Closing balance,Closing balance,"120,015,679,745","250,801,336,914","51,630,496,665","11,875,857,087","14,697,702,282","449,021,072,693",,,,,,
Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,,,,,,
Opening,Opening,Opening,"606,508,937,978","96,953,737,652","30,261,459,829","10,751,624,022","11,366,581,799","755,842,341,280",,,,,,
Closing,Closing,Closing,"1,053,891,221,288","93,736,928,283","25,272,354,349","8,797,554,482","14,324,225,102","1,196,022,283,504",,,,,,
