row_label_raw,row_label_full,col_0,End of year VND,Beginning of year VND,numeric__End of year VND,numeric__Beginning of year VND
Loan receivables,Loan receivables,Loan receivables,"228,700,000,000","338,764,637,167",,
Short-term,Short-term,Short-term,"143,100,000,000","167,564,637,167",,
Southern Development And Investment Joint Stock Company,Southern Development And Investment Joint Stock Company,Southern Development And Investment Joint Stock Company,"143,100,000,000","167,564,637,167",,
Long-term,Long-term,Long-term,"85,600,000,000","171,200,000,000",,
Southern Development And Investment Joint Stock Company,Southern Development And Investment Joint Stock Company,Southern Development And Investment Joint Stock Company,"85,600,000,000","171,200,000,000",,
Other receivables,Other receivables,Other receivables,"1,318,978,072,917","1,935,240,727,146",,
Other short-term receivables,Other short-term receivables,Other short-term receivables,"1,318,978,072,917","1,236,505,100,810",,
Mr Nguyen Hung Cuong (representative of the Board of Management),Mr Nguyen Hung Cuong (representative of the Board of Management),Mr Nguyen Hung Cuong (representative of the Board of Management),"959,513,129,500","904,000,000,000",,
Southern Development And Investment Joint Stock Company,Southern Development And Investment Joint Stock Company,Southern Development And Investment Joint Stock Company,"359,464,943,417","332,485,100,810",,
Vina Dai Phuoc Corporation,Vina Dai Phuoc Corporation,Vina Dai Phuoc Corporation,-,"20,000,000",,
Other long-term receivables,Other long-term receivables,Other long-term receivables,-,"698,735,626,336",,
Southern Development And Investment Joint Stock Company,Southern Development And Investment Joint Stock Company,Southern Development And Investment Joint Stock Company,-,"698,735,626,336",,
Short-term trade payables,Short-term trade payables,Short-term trade payables,"280,888,132,873","258,706,367,592",,
DICERA Holdings Joint Stock Company,DICERA Holdings Joint Stock Company,DICERA Holdings Joint Stock Company,"255,924,067,549","243,252,056,228",,
D.I.C Real Estate Joint Stock Company,D.I.C Real Estate Joint Stock Company,D.I.C Real Estate Joint Stock Company,"4,188,136,613","5,158,274,329",,
Development Investment Construction - Concrete Joint Stock Company,Development Investment Construction - Concrete Joint Stock Company,Development Investment Construction - Concrete Joint Stock Company,"20,764,618,991","9,236,756,695",,
Southern Development And Investment Joint Stock Company,Southern Development And Investment Joint Stock Company,Southern Development And Investment Joint Stock Company,"11,309,720","1,059,280,340",,
Short-term advances from customers,Short-term advances from customers,Short-term advances from customers,"451,894,874,770","770,069,340,631",,
DICERA Holdings Joint Stock Company,DICERA Holdings Joint Stock Company,DICERA Holdings Joint Stock Company,"448,970,556,768","767,145,022,629",,
D.I.C Real Estate Joint Stock Company,D.I.C Real Estate Joint Stock Company,D.I.C Real Estate Joint Stock Company,"2,924,318,002","2,924,318,002",,
Other short-term payables,Other short-term payables,Other short-term payables,"123,926,933,855","109,430,007,576",,
D.I.C Real Estate Joint Stock Company,D.I.C Real Estate Joint Stock Company,D.I.C Real Estate Joint Stock Company,"58,683,726,158","44,641,217,600",,
DICERA Holdings Joint Stock Company,DICERA Holdings Joint Stock Company,DICERA Holdings Joint Stock Company,"65,243,207,697","64,788,789,976",,
