row_label_raw,row_label_full,Loan and finance lease,Beginning of year VND,Increase VND,Decrease VND,End of year VND,numeric__Beginning of year VND,numeric__Increase VND,numeric__Decrease VND,numeric__End of year VND
Short-term loan,Short-term loan,Short-term loan,"1,572,638,801,780","1,621,312,057,584","1,870,909,803,625","1,323,041,055,739",,,,
Loans from banks (Note 24.1),Loans from banks (Note 24.1),Loans from banks (Note 24.1),"620,887,327,488","710,480,424,625","852,200,731,376","479,167,020,737",,,,
Current portion of long-term loans (Note 24.2),Current portion of long-term loans (Note 24.2),Current portion of long-term loans (Note 24.2),"937,912,674,292","241,604,062,242","956,630,736,530","222,886,000,004",,,,
Common bonds due for payment (Note 24.3,Common bonds due for payment (Note 24.3,Common bonds due for payment (Note 24.3,-,"600,000,000,000",-,"600,000,000,000",,,,
Others,Others,Others,"13,838,800,000","69,119,535,719","62,078,335,719","20,880,000,000",,,,
Finance lease debt,Finance lease debt,Finance lease debt,-,"108,034,998",-,"108,034,998",,,,
Long-term loan,Long-term loan,Long-term loan,"2,276,905,408,614","402,663,718,679","1,765,117,876,623","914,451,250,670",,,,
Loans from banks (Note 24.2),Loans from banks (Note 24.2),Loans from banks (Note 24.2),"702,549,560,212","403,872,518,679","396,459,149,682","709,962,929,209",,,,
Common bonds (Note 24.3),Common bonds (Note 24.3),Common bonds (Note 24.3),"1,562,532,648,402","(2,500,000,000)","1,366,837,260,274","193,195,388,128",,,,
Others,Others,Others,"11,823,200,000","671,200,000","1,552,800,000","10,941,600,000",,,,
Finance lease debt,Finance lease debt,Finance lease debt,-,"620,000,000","268,666,667","351,333,333",,,,
Total,Total,Total,"3,849,544,210,394","2,023,975,776,263","3,636,027,680,248","2,237,492,306,409",,,,
