row_label_raw,row_label_full,col_0,Current year VND,Previous year VND,numeric__Current year VND,numeric__Previous year VND
Profit after corporate income tax,Profit after corporate income tax,Profit after corporate income tax,"646,459,231,632","114,535,926,550",,
Adjustments,Adjustments,Adjustments,-,"(14,504,710,999)",,
Net profit attributable to ordinary shareholders,Net profit attributable to ordinary shareholders,Net profit attributable to ordinary shareholders,"646,459,231,632","100,031,215,551",,
Weighted average number of ordinary shares,Weighted average number of ordinary shares,Weighted average number of ordinary shares,"654,239,410","646,431,191",,
Earnings per share,Weighted average number of ordinary shares > Earnings per share,Earnings per share,988,155,988.0,155.0
