row_label_raw,row_label_full,Dự án Khu đô thị mới Nam Vĩnh Yên (i),Số cuối năm VND > 2.129.730.558.614,Số đầu năm VND > 2.043.250.406.609,numeric__Số cuối năm VND > 2.129.730.558.614,numeric__Số đầu năm VND > 2.043.250.406.609
Dự án chung cư A2-1 Vũng Tàu Center Point (i),Dự án chung cư A2-1 Vũng Tàu Center Point (i),Dự án chung cư A2-1 Vũng Tàu Center Point (i),1.503.483.707.735,1.041.524.132.662,1503483707735.0,1041524132662.0
"Dự án Khu dân cư phường 4, Hậu Giang (i)","Dự án Khu dân cư phường 4, Hậu Giang (i)","Dự án Khu dân cư phường 4, Hậu Giang (i)",1.060.513.059.138,1.039.978.529.413,1060513059138.0,1039978529413.0
"Dự án Khu du lịch Long Tân, Nhơn Trạch (i)","Dự án Khu du lịch Long Tân, Nhơn Trạch (i)","Dự án Khu du lịch Long Tân, Nhơn Trạch (i)",1.049.545.476.568,871.732.745.907,1049545476568.0,871732745907.0
Dự án khu đô thị mới Bắc Vũng Tàu,Dự án khu đô thị mới Bắc Vũng Tàu,Dự án khu đô thị mới Bắc Vũng Tàu,260.369.089.789,242.655.411.101,260369089789.0,242655411101.0
Dự án Khu phúc hợp Cap Saint Jacques - Giai đoạn 2 (i),Dự án Khu phúc hợp Cap Saint Jacques - Giai đoạn 2 (i),Dự án Khu phúc hợp Cap Saint Jacques - Giai đoạn 2 (i),261.645.235.377,148.566.620.900,261645235377.0,148566620900.0
Dự án Khu du lịch đô thị sinh thái Đại Phước (i),Dự án Khu du lịch đô thị sinh thái Đại Phước (i),Dự án Khu du lịch đô thị sinh thái Đại Phước (i),44.139.371.161,2.143.362.011.412,44139371161.0,2143362011412.0
"Dự án Khu dân cư Hiệp Phước, Nhơn Trạch","Dự án Khu dân cư Hiệp Phước, Nhơn Trạch","Dự án Khu dân cư Hiệp Phước, Nhơn Trạch",37.277.814.041,47.606.726.039,37277814041.0,47606726039.0
"Dự án Khu nhà ở Lam Hạ Center Point, TP. Phù Lý, Hà Nam","Dự án Khu nhà ở Lam Hạ Center Point, TP. Phù Lý, Hà Nam","Dự án Khu nhà ở Lam Hạ Center Point, TP. Phù Lý, Hà Nam",,233.651.723.504,,233651723504.0
Các dự án khác,Các dự án khác,Các dự án khác,23.842.505.837,70.047.705.020,23842505837.0,70047705020.0
Cộng,Cộng,Cộng,6.370.546.818.260,7.882.376.012.567,6370546818260.0,7882376012567.0
