row_label_raw,row_label_full,col_0,End of year VND,Beginning of year VND,numeric__End of year VND,numeric__Beginning of year VND
Customers of Dai Phuoc Eco-tourism Project,Customers of Dai Phuoc Eco-tourism Project,Customers of Dai Phuoc Eco-tourism Project,"765,263,220,094","2,445,956,364",,
"Customers of Block B Pullman Project, Vung Tau","Customers of Block B Pullman Project, Vung Tau","Customers of Block B Pullman Project, Vung Tau","399,661,923,851","401,461,923,851",,
Customers of Nam Vinh Yen New Urban Area Project (i),Customers of Nam Vinh Yen New Urban Area Project (i),Customers of Nam Vinh Yen New Urban Area Project (i),"154,078,902,089","268,357,901,964",,
Customers of Vung Tau Gateway Apartment Project,Customers of Vung Tau Gateway Apartment Project,Customers of Vung Tau Gateway Apartment Project,"173,488,003,007","190,650,046,394",,
"Customers of Chi Linh Centre Project, Vung Tau","Customers of Chi Linh Centre Project, Vung Tau","Customers of Chi Linh Centre Project, Vung Tau","22,636,978,041","22,850,980,041",,
Green Mark Construction Joint Stock Company,Green Mark Construction Joint Stock Company,Green Mark Construction Joint Stock Company,"39,942,857,624","73,156,638,946",,
"Cai Mep Logistics Co., Ltd","Cai Mep Logistics Co., Ltd","Cai Mep Logistics Co., Ltd","68,897,875,824","25,663,436,805",,
Others (ii),Others (ii),Others (ii),"99,384,650,301","203,569,775,026",,
Total,Total,Total,"1,723,354,410,831","1,188,156,659,391",,
In which::,In which::,In which::,In which::,In which::,,
Receivable from related parties (Note VIII.2),Receivable from related parties (Note VIII.2),Receivable from related parties (Note VIII.2),"405,959,287,297","407,878,493,297",,
