row_label_raw,row_label_full,col_0,Đơn vị tính: VND,numeric__Đơn vị tính: VND
,,,Phương tiện vận tải,
Nguyên giá,Nguyên giá,Nguyên giá,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,-,
Thuê tài chính trong năm,Số dư đầu năm > Thuê tài chính trong năm,Thuê tài chính trong năm,586.094.074,586094074.0
Số dư cuối năm,Số dư đầu năm > Số dư cuối năm,Số dư cuối năm,586.094.074,586094074.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,-,
Khấu hao trong năm,Số dư đầu năm > Khấu hao trong năm,Khấu hao trong năm,36.079.445,36079445.0
Số dư cuối năm,Số dư đầu năm > Số dư cuối năm,Số dư cuối năm,36.079.445,36079445.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,-,
Tại ngày cuối năm,Tại ngày đầu năm > Tại ngày cuối năm,Tại ngày cuối năm,550.014.629,550014629.0
