row_label_raw,row_label_full,col_0,End of year VND,Beginning of year VND,numeric__End of year VND,numeric__Beginning of year VND
Nam Vinh Yen New Urban Area Project (i),Nam Vinh Yen New Urban Area Project (i),Nam Vinh Yen New Urban Area Project (i),"2,129,730,558,614","2,043,250,406,609",,
Apartment A2-1 Project Vung Tau Center Point (i),Apartment A2-1 Project Vung Tau Center Point (i),Apartment A2-1 Project Vung Tau Center Point (i),"1,503,483,707,735","1,041,524,132,662",,
"Urban Area Project in Ward 4, Hau Giang (i)","Urban Area Project in Ward 4, Hau Giang (i)","Urban Area Project in Ward 4, Hau Giang (i)","1,060,513,059,138","1,039,978,529,413",,
"Long Tan Resort Project, Nhon Trach (i)","Long Tan Resort Project, Nhon Trach (i)","Long Tan Resort Project, Nhon Trach (i)","1,049,545,476,568","871,732,745,907",,
Northern Vung Tau New Urban Area Project,Northern Vung Tau New Urban Area Project,Northern Vung Tau New Urban Area Project,"260,369,089,789","242,655,411,101",,
Cap Saint Jacques Complex Area Project - Phase 2 (i),Cap Saint Jacques Complex Area Project - Phase 2 (i),Cap Saint Jacques Complex Area Project - Phase 2 (i),"261,645,235,377","148,566,620,900",,
Infrastructure for Dai Phuoc Urban Area Project (i),Infrastructure for Dai Phuoc Urban Area Project (i),Infrastructure for Dai Phuoc Urban Area Project (i),"44,139,371,161","2,143,362,011,412",,
"Hiep Phuoc Urban Area Project, Nhon Trach","Hiep Phuoc Urban Area Project, Nhon Trach","Hiep Phuoc Urban Area Project, Nhon Trach","37,277,814,041","47,606,726,039",,
"Lam Ha Center Point Residential Project, Phu Ly City, Ha Nam","Lam Ha Center Point Residential Project, Phu Ly City, Ha Nam","Lam Ha Center Point Residential Project, Phu Ly City, Ha Nam",-,"233,651,723,504",,
Others,Others,Others,"23,842,505,837","70,047,705,020",,
Total,Total,Total,"6,370,546,818,260","7,882,376,012,567",,
