row_label_raw,row_label_full,Item,Code,Note,Current year,Previous year,numeric__Code,numeric__Note,numeric__Current year,numeric__Previous year
1. Revenue from sale of goods and rendering of services,1. Revenue from sale of goods and rendering of services,1. Revenue from sale of goods and rendering of services,01,VI.1,"4,789,105,206,000","1,531,489,886,037",1.0,,,
2. Deductible items,2. Deductible items,2. Deductible items,02,VI.2,"71,437,967,173","230,490,942,709",2.0,,,
3. Net revenue from sale of goods and rendering of services,3. Net revenue from sale of goods and rendering of services,3. Net revenue from sale of goods and rendering of services,10,VI.3,"4,717,667,238,827","1,300,998,943,328",10.0,,,
4. Cost of goods sold,4. Cost of goods sold,4. Cost of goods sold,11,VI.4,"3,601,415,457,075","1,002,803,572,463",11.0,,,
5. Gross profit from sale of goods and rendering of services,5. Gross profit from sale of goods and rendering of services,5. Gross profit from sale of goods and rendering of services,20,,"1,116,251,781,752","298,195,370,865",20.0,,,
6. Revenue from financial activities,6. Revenue from financial activities,6. Revenue from financial activities,21,VI.5,"65,972,872,839","117,144,956,019",21.0,,,
7. Financial expenses,7. Financial expenses,7. Financial expenses,22,VI.6,"100,718,815,894","28,480,620,434",22.0,,,
In which: Interest expense,In which: Interest expense,In which: Interest expense,23,,"97,242,285,512","47,361,629,699",23.0,,,
8. Share in profits of associates,8. Share in profits of associates,8. Share in profits of associates,24,V.2,"11,447,968,971","(436,068,748)",24.0,,,
9. Selling expenses,9. Selling expenses,9. Selling expenses,25,VI.7,"65,503,843,189","43,616,009,912",25.0,,,
10. Administrative expenses,10. Administrative expenses,10. Administrative expenses,26,VI.8,"206,032,413,963","180,302,907,673",26.0,,,
11. Net profit from operating activities,11. Net profit from operating activities,11. Net profit from operating activities,30,,"821,417,550,516","162,504,720,117",30.0,,,
12. Other income,12. Other income,12. Other income,31,VI.9,"38,602,868,802","20,871,285,186",31.0,,,
13. Other expenses,13. Other expenses,13. Other expenses,32,VI.10,"35,770,298,067","25,287,593,359",32.0,,,
14. Other profit,14. Other profit,14. Other profit,40,,"2,832,570,735","(4,416,308,173)",40.0,,,
15. Total profit before tax,15. Total profit before tax,15. Total profit before tax,50,,"824,250,121,251","158,088,411,944",50.0,,,
16. Current corporate income tax expenses,16. Current corporate income tax expenses,16. Current corporate income tax expenses,51,VI.11,"186,158,243,727","76,029,395,092",51.0,,,
17. Deferred corporate income tax expenses,17. Deferred corporate income tax expenses,17. Deferred corporate income tax expenses,52,VI.11,"31,685,069,936","(19,845,281,860)",52.0,,,
18. Profit after tax,18. Profit after tax,18. Profit after tax,60,,"606,406,807,588","101,904,298,712",60.0,,,
19. Net profit after tax attributable to parent,19. Net profit after tax attributable to parent,19. Net profit after tax attributable to parent,61,,"646,459,231,632","114,535,926,550",61.0,,,
20. Net profit after tax of non-controlling interest,20. Net profit after tax of non-controlling interest,20. Net profit after tax of non-controlling interest,62,,"(40,052,424,044)","(12,631,627,838)",62.0,,,
21. Earnings per Share,21. Earnings per Share,21. Earnings per Share,70,VI.12,988,155,70.0,,988.0,155.0
