row_label_raw,row_label_full,Objects (continued),End of year VND,Interest rate (%/year),Collaterals,numeric__End of year VND,numeric__Interest rate (%/year),numeric__Collaterals
Vietnam Bank for Agriculture and Rural Development – Chu Lai Branch,Vietnam Bank for Agriculture and Rural Development – Chu Lai Branch,Vietnam Bank for Agriculture and Rural Development – Chu Lai Branch,"33,000,000,000",7.5%,- Machinery and equipment of Brothers DIC Ceramic Joint Stock Company,,0.75,
Vietnam Bank for Agriculture and Rural Development – Nui Thanh Branch,Vietnam Bank for Agriculture and Rural Development – Nui Thanh Branch,Vietnam Bank for Agriculture and Rural Development – Nui Thanh Branch,"11,000,000,000",7.5%,- Machinery and equipment of Brothers DIC Ceramic Joint Stock Company,,0.75,
Prosperity and Growth Commercial Joint Stock Bank – Vung Tau Branch,Prosperity and Growth Commercial Joint Stock Bank – Vung Tau Branch,Prosperity and Growth Commercial Joint Stock Bank – Vung Tau Branch,"14,713,244,238",8.0%,- The term deposit contract is worth 1 billion VND,,0.8,
Total,Total,Total,"479,167,020,737",,,,,
