row_label_raw,row_label_full,ASSETS,Code,Note,End of year,Beginning of year,numeric__Code,numeric__Note,numeric__End of year,numeric__Beginning of year
A. CURRENT ASSETS,A. CURRENT ASSETS,A. CURRENT ASSETS,100,,"16,636,364,783,345","15,985,757,394,009",100.0,,,
I. Cash and cash equivalents,I. Cash and cash equivalents,I. Cash and cash equivalents,110,V.1,"3,279,178,467,269","785,165,517,804",110.0,,,
1. Cash,1. Cash,1. Cash,111,,"1,065,261,941,464","391,704,493,380",111.0,,,
2. Cash equivalents,2. Cash equivalents,2. Cash equivalents,112,,"2,213,916,525,805","393,461,024,424",112.0,,,
II. Short-term investments,II. Short-term investments,II. Short-term investments,120,,"251,000,000,000","895,900,000,000",120.0,,,
1. Held-to-maturity investments,1. Held-to-maturity investments,1. Held-to-maturity investments,123,V.2,"251,000,000,000","895,900,000,000",123.0,,,
III. Short-term accounts receivables,III. Short-term accounts receivables,III. Short-term accounts receivables,130,,"6,194,391,169,014","5,943,738,452,685",130.0,,,
1. Short-term trade receivables,1. Short-term trade receivables,1. Short-term trade receivables,131,V.3,"1,723,354,410,831","1,188,156,659,391",131.0,,,
2. Short-term advances to suppliers,2. Short-term advances to suppliers,2. Short-term advances to suppliers,132,V.4,"32,235,318,190","29,390,434,469",132.0,,,
3. Short-term loan receivables,3. Short-term loan receivables,3. Short-term loan receivables,135,V.5,"163,100,000,000","187,564,637,167",135.0,,,
4. Other short-term receivables,4. Other short-term receivables,4. Other short-term receivables,136,V.6,"4,295,769,655,493","4,548,370,292,505",136.0,,,
5. Provision for doubtful short-term receivables,5. Provision for doubtful short-term receivables,5. Provision for doubtful short-term receivables,137,V.7,"(20,068,215,500)","(9,743,570,847)",137.0,,,
IV. Inventories,IV. Inventories,IV. Inventories,140,V.8,"6,627,355,351,266","8,154,605,622,433",140.0,,,
1. Inventories,1. Inventories,1. Inventories,141,,"6,629,788,856,850","8,157,039,128,017",141.0,,,
2. Provision for obsolete inventories,2. Provision for obsolete inventories,2. Provision for obsolete inventories,149,,"(2,433,505,584)","(2,433,505,584)",149.0,,,
V. Other current assets,V. Other current assets,V. Other current assets,150,,"284,439,795,796","206,347,801,087",150.0,,,
1. Short-term prepaid expenses,1. Short-term prepaid expenses,1. Short-term prepaid expenses,151,V.9,"181,225,726,104","169,357,579,307",151.0,,,
2. VAT deductibles,2. VAT deductibles,2. VAT deductibles,152,,"72,889,639,416","11,927,548,066",152.0,,,
3. Tax and other receivables from the State,3. Tax and other receivables from the State,3. Tax and other receivables from the State,153,V.18,"30,324,430,276","25,062,673,714",153.0,,,
B. NON- CURRENT ASSETS,B. NON- CURRENT ASSETS,B. NON- CURRENT ASSETS,200,,"2,323,273,976,511","2,553,566,187,167",200.0,,,
I. Long-term receivables,I. Long-term receivables,I. Long-term receivables,210,,"165,674,440,999","949,950,067,335",210.0,,,
1. Long -term loan receivables,1. Long -term loan receivables,1. Long -term loan receivables,215,V.5,"85,600,000,000","171,200,000,000",215.0,,,
2. Other long-term receivables,2. Other long-term receivables,2. Other long-term receivables,216,V.6,"80,074,440,999","778,750,067,335",216.0,,,
II. Fixed assets,II. Fixed assets,II. Fixed assets,220,,"1,282,232,267,084","842,135,290,652",220.0,,,
1. Tangible fixed assets,1. Tangible fixed assets,1. Tangible fixed assets,221,V.10,"1,196,022,283,504","755,842,341,280",221.0,,,
- Cost,- Cost,- Cost,222,,"1,645,043,356,197","1,159,827,214,822",222.0,,,
- Accumulated depreciation,- Accumulated depreciation,- Accumulated depreciation,223,,"(449,021,072,693)","(403,984,873,542)",223.0,,,
2. Finance leases,2. Finance leases,2. Finance leases,224,V.11,"550,014,629",-,224.0,,,
- Cost,- Cost,- Cost,225,,"586,094,074",-,225.0,,,
- Accumulated depreciation,- Accumulated depreciation,- Accumulated depreciation,226,,"(36,079,445)",-,226.0,,,
3. Intangible fixed assets,3. Intangible fixed assets,3. Intangible fixed assets,227,V.13,"85,659,968,951","86,292,949,372",227.0,,,
- Cost,- Cost,- Cost,228,,"89,835,419,884","89,775,726,215",228.0,,,
- Accumulated depreciation,- Accumulated depreciation,- Accumulated depreciation,229,,"(4,175,450,933)","(3,482,776,843)",229.0,,,
III. Investment properties,III. Investment properties,III. Investment properties,230,V.12,"151,211,632,289","158,666,666,367",230.0,,,
- Cost,- Cost,- Cost,231,,"207,034,722,790","208,549,462,773",231.0,,,
- Accumulated depreciation,- Accumulated depreciation,- Accumulated depreciation,232,,"(55,823,090,501)","(49,882,796,406)",232.0,,,
