row_label_raw,row_label_full,col_0,Số cuối năm VND,Số đầu năm VND,numeric__Số cuối năm VND,numeric__Số đầu năm VND
Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,228.700.000.000,338.764.637.167,228700000000.0,338764637167.0
Ngắn hạn,Ngắn hạn,Ngắn hạn,143.100.000.000,167.564.637.167,143100000000.0,167564637167.0
Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,143.100.000.000,167.564.637.167,143100000000.0,167564637167.0
Dài hạn,Dài hạn,Dài hạn,85.600.000.000,171.200.000.000,85600000000.0,171200000000.0
Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,85.600.000.000,171.200.000.000,85600000000.0,171200000000.0
Phải thu khác,Phải thu khác,Phải thu khác,1.318.978.072.917,1.935.240.727.146,1318978072917.0,1935240727146.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,1.318.978.072.917,1.236.505.100.810,1318978072917.0,1236505100810.0
Ông Nguyễn Hùng Cường (đại diện Hội đồng Quản trị),Ông Nguyễn Hùng Cường (đại diện Hội đồng Quản trị),Ông Nguyễn Hùng Cường (đại diện Hội đồng Quản trị),959.513.129.500,904.000.000.000,959513129500.0,904000000000.0
Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,359.464.943.417,332.485.100.810,359464943417.0,332485100810.0
Công ty CP Vina Đại Phước,Công ty CP Vina Đại Phước,Công ty CP Vina Đại Phước,-,20.000.000,,20000000.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,-,698.735.626.336,,698735626336.0
Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,-,698.735.626.336,,698735626336.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,280.888.132.873,258.706.367.592,280888132873.0,258706367592.0
Công ty CP DICERA Holdings,Công ty CP DICERA Holdings,Công ty CP DICERA Holdings,255.924.067.549,243.252.056.228,255924067549.0,243252056228.0
Công ty CP Bất động sản D.I.C,Công ty CP Bất động sản D.I.C,Công ty CP Bất động sản D.I.C,4.188.136.613,5.158.274.329,4188136613.0,5158274329.0
Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,20.764.618.991,9.236.756.695,20764618991.0,9236756695.0
Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,11.309.720,1.059.280.340,11309720.0,1059280340.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,451.894.874.770,770.069.340.631,451894874770.0,770069340631.0
Công ty CP DICERA Holdings,Công ty CP DICERA Holdings,Công ty CP DICERA Holdings,448.970.556.768,767.145.022.629,448970556768.0,767145022629.0
Công ty CP Bất động sản D.I.C,Công ty CP Bất động sản D.I.C,Công ty CP Bất động sản D.I.C,2.924.318.002,2.924.318.002,2924318002.0,2924318002.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,123.926.933.855,109.430.007.576,123926933855.0,109430007576.0
Công ty CP Bất động sản D.I.C,Công ty CP Bất động sản D.I.C,Công ty CP Bất động sản D.I.C,58.683.726.158,44.641.217.600,58683726158.0,44641217600.0
Công ty CP DICERA Holdings,Công ty CP DICERA Holdings,Công ty CP DICERA Holdings,65.243.207.697,64.788.789.976,65243207697.0,64788789976.0
