row_label_raw,row_label_full,col_0,Số đầu nămVND,Số phải nộp trong nămVND,Số đã thực nộp trong nămVND,Số cuối nămVND,numeric__Số đầu nămVND,numeric__Số phải nộp trong nămVND,numeric__Số đã thực nộp trong nămVND,numeric__Số cuối nămVND
Thuế phải nộp,Thuế phải nộp,Thuế phải nộp,97.348.986.765,605.183.836.905,244.935.207.544,457.597.616.126,97348986765.0,605183836905.0,244935207544.0,457597616126.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,18.975.138.215,347.378.978.322,99.263.515.634,267.090.600.903,18975138215.0,347378978322.0,99263515634.0,267090600903.0
Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,44.029.092,299.351.539,321.113.672,22.266.959,44029092.0,299351539.0,321113672.0,22266959.0
"Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,7.304.585,7.304.585,-,,7304585.0,7304585.0,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,43.264.814.086,186.158.243.727,109.443.130.058,119.979.927.755,43264814086.0,186158243727.0,109443130058.0,119979927755.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,487.658.788,10.931.320.950,7.654.740.724,3.764.239.014,487658788.0,10931320950.0,7654740724.0,3764239014.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,10.156.601,203.395.978,198.186.222,15.366.357,10156601.0,203395978.0,198186222.0,15366357.0
Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,31.083.570.300,3.091.745.156,9.757.124.420,24.418.191.036,31083570300.0,3091745156.0,9757124420.0,24418191036.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,2.976.620.549,57.012.099.512,17.681.695.959,42.307.024.102,2976620549.0,57012099512.0,17681695959.0,42307024102.0
Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,506.999.134,101.397.136,608.396.270,-,506999134.0,101397136.0,608396270.0,
Thuế phải thu,Thuế phải thu,Thuế phải thu,25.062.673.714,1.206.565.386,6.468.321.948,30.324.430.276,25062673714.0,1206565386.0,6468321948.0,30324430276.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,122.134.503,1.188.626.773,1.069.431.697,2.939.427,122134503.0,1188626773.0,1069431697.0,2939427.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,24.831.921.898,17.938.613,5.148.086.479,29.962.069.764,24831921898.0,17938613.0,5148086479.0,29962069764.0
tạm nộp,tạm nộp,tạm nộp,,,,,,,,
Thuế thu nhập cá nhân,tạm nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,10.777,-,250.803.772,250.814.549,10777.0,,250803772.0,250814549.0
Các loại thuế khác,tạm nộp > Các loại thuế khác,Các loại thuế khác,108.606.536,-,-,108.606.536,108606536.0,,,108606536.0
