row_label_raw,row_label_full,col_0,Số đầu năm VND,Tăng VND,Giảm VND,Số cuối năm VND,numeric__Số đầu năm VND,numeric__Tăng VND,numeric__Giảm VND,numeric__Số cuối năm VND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,1.572.638.801.780,1.621.312.057.584,1.870.909.803.625,1.323.041.055.739,1572638801780.0,1621312057584.0,1870909803625.0,1323041055739.0
Vay ngân hàng (Thuyết minh 24.1),Vay ngân hàng (Thuyết minh 24.1),Vay ngân hàng (Thuyết minh 24.1),620.887.327.488,710.480.424.625,852.200.731.376,479.167.020.737,620887327488.0,710480424625.0,852200731376.0,479167020737.0
Vay dài hạn đến hạn trả (Thuyết minh 24.2),Vay dài hạn đến hạn trả (Thuyết minh 24.2),Vay dài hạn đến hạn trả (Thuyết minh 24.2),937.912.674.292,241.604.062.242,956.630.736.530,222.886.000.004,937912674292.0,241604062242.0,956630736530.0,222886000004.0
Trái phiếu thường phát hành đến hạn trả (Thuyết minh 24.3),Trái phiếu thường phát hành đến hạn trả (Thuyết minh 24.3),Trái phiếu thường phát hành đến hạn trả (Thuyết minh 24.3),-,600.000.000.000,-,600.000.000.000,,600000000000.0,,600000000000.0
Vay bên khác,Vay bên khác,Vay bên khác,13.838.800.000,69.119.535.719,62.078.335.719,20.880.000.000,13838800000.0,69119535719.0,62078335719.0,20880000000.0
Nợ thuê tài chính,Nợ thuê tài chính,Nợ thuê tài chính,-,108.034.998,-,108.034.998,,108034998.0,,108034998.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,2.276.905.408.614,402.663.718.679,1.765.117.876.623,914.451.250.670,2276905408614.0,402663718679.0,1765117876623.0,914451250670.0
Vay ngân hàng (Thuyết minh 24.2),Vay ngân hàng (Thuyết minh 24.2),Vay ngân hàng (Thuyết minh 24.2),702.549.560.212,403.872.518.679,396.459.149.682,709.962.929.209,702549560212.0,403872518679.0,396459149682.0,709962929209.0
Trái phiếu thường phát hành (Thuyết minh 24.3),Trái phiếu thường phát hành (Thuyết minh 24.3),Trái phiếu thường phát hành (Thuyết minh 24.3),1.562.532.648.402,(2.500.000.000),1.366.837.260.274,193.195.388.128,1562532648402.0,-2500000000.0,1366837260274.0,193195388128.0
Vay bên khác,Vay bên khác,Vay bên khác,11.823.200.000,671.200.000,1.552.800.000,10.941.600.000,11823200000.0,671200000.0,1552800000.0,10941600000.0
Nợ thuê tài chính,Nợ thuê tài chính,Nợ thuê tài chính,-,620.000.000,268.666.667,351.333.333,,620000000.0,268666667.0,351333333.0
Cộng,Cộng,Cộng,3.849.544.210.394,2.023.975.776.263,3.636.027.680.248,2.237.492.306.409,3849544210394.0,2023975776263.0,3636027680248.0,2237492306409.0
