row_label_raw,row_label_full,col_0,Beginning of year,Payable,Paid,End of year,numeric__Beginning of year,numeric__Payable,numeric__Paid,numeric__End of year
,,,VND,VND,VND,VND,,,,
Payables,Payables,Payables,"97,348,986,765","605,183,836,905","244,935,207,544","457,597,616,126",,,,
Value added tax,Value added tax,Value added tax,"18,975,138,215","347,378,978,322","99,263,515,634","267,090,600,903",,,,
Special sales tax,Special sales tax,Special sales tax,"44,029,092","299,351,539","321,113,672","22,266,959",,,,
"Import, export tax","Import, export tax","Import, export tax",-,"7,304,585","7,304,585",-,,,,
Corporate income tax,Corporate income tax,Corporate income tax,"43,264,814,086","186,158,243,727","109,443,130,058","119,979,927,755",,,,
Personal income tax,Personal income tax,Personal income tax,"487,658,788","10,931,320,950","7,654,740,724","3,764,239,014",,,,
Resource tax,Resource tax,Resource tax,"10,156,601","203,395,978","198,186,222","15,366,357",,,,
Land tax,Land tax,Land tax,"31,083,570,300","3,091,745,156","9,757,124,420","24,418,191,036",,,,
Other tax,Other tax,Other tax,"2,976,620,549","57,012,099,512","17,681,695,959","42,307,024,102",,,,
Others,Others,Others,"506,999,134","101,397,136","608,396,270",-,,,,
Receivables,Receivables,Receivables,"25,062,673,714","1,206,565,386","6,468,321,948","30,324,430,276",,,,
Value added tax,Value added tax,Value added tax,"122,134,503","1,188,626,773","1,069,431,697","2,939,427",,,,
Corporate income tax,Corporate income tax,Corporate income tax,"24,831,921,898","17,938,613","5,148,086,479","29,962,069,764",,,,
Personal income tax,Corporate income tax > Personal income tax,Personal income tax,"10,777",-,"250,803,772","250,814,549",10.777,,,
Other tax,Other tax,Other tax,"108,606,536",-,-,"108,606,536",,,,
