row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,86.974.148.811,2.801.577.404,89.775.726.215,86974148811.0,2801577404.0,89775726215.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,59.693.669,-,59.693.669,59693669.0,,59693669.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,87.033.842.480,2.801.577.404,89.835.419.884,87033842480.0,2801577404.0,89835419884.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,2.172.952.101,1.309.824.742,3.482.776.843,2172952101.0,1309824742.0,3482776843.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,463.523.878,229.150.212,692.674.090,463523878.0,229150212.0,692674090.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,2.636.475.979,1.538.974.954,4.175.450.938,2636475979.0,1538974954.0,4175450938.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,84.801.196.710,1.491.752.662,86.292.949.372,84801196710.0,1491752662.0,86292949372.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,84.397.366.501,1.262.602.450,85.659.968.951,84397366501.0,1262602450.0,85659968951.0
