row_label_raw,row_label_full,Các bên liên quan,Nội dung nghiệp vụ,Năm nay VND,Năm trước VND,numeric__Nội dung nghiệp vụ,numeric__Năm nay VND,numeric__Năm trước VND
Doanh thu,Doanh thu,Doanh thu,,4.415.082.377,344.952.105.698,,4415082377.0,344952105698.0
Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Xây dựng,130.000.000,342.022.817.271,,130000000.0,342022817271.0
Công ty CP Vina Đại Phước,Công ty CP Vina Đại Phước,Công ty CP Vina Đại Phước,Cung cấp dịch vụ,4.008.845.904,2.483.685.900,,4008845904.0,2483685900.0
Công ty CP DICERA Holdings,Công ty CP DICERA Holdings,Công ty CP DICERA Holdings,Cung cấp dịch vụ,203.119.638,365.022.140,,203119638.0,365022140.0
Công ty CP Bất động sản D.I.C,Công ty CP Bất động sản D.I.C,Công ty CP Bất động sản D.I.C,Cung cấp dịch vụ,18.865.993,25.077.425,,18865993.0,25077425.0
Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Cung cấp dịch vụ,54.250.842,55.502.962,,54250842.0,55502962.0
Các hoạt động khác,Các hoạt động khác,Các hoạt động khác,Các hoạt động khác,Các hoạt động khác,Các hoạt động khác,,,
Công ty CP Bất động sản D.I.C,Các hoạt động khác > Công ty CP Bất động sản D.I.C,Công ty CP Bất động sản D.I.C,Chi phí môi giới,57.212.363.667,28.516.455.736,,57212363667.0,28516455736.0
Công ty CP Bất động sản D.I.C,Các hoạt động khác > Công ty CP Bất động sản D.I.C,Công ty CP Bất động sản D.I.C,Chi phí dịch vụ,309.393.000,25.017.545.862,,309393000.0,25017545862.0
Công ty CP Bất động sản D.I.C,Các hoạt động khác > Công ty CP Bất động sản D.I.C,Công ty CP Bất động sản D.I.C,Cổ tức cổ phiếu,9.420.840.000,-,,9420840000.0,
Công ty CP DICERA Holdings,Các hoạt động khác > Công ty CP DICERA Holdings,Công ty CP DICERA Holdings,Chi phí xây dựng,441.591.395.205,721.189.211.485,,441591395205.0,721189211485.0
Công ty CP DICERA Holdings,Các hoạt động khác > Công ty CP DICERA Holdings,Công ty CP DICERA Holdings,Cổ tức cổ phiếu,24.588.210.000,18.841.340.000,,24588210000.0,18841340000.0
Công ty CP DICERA Holdings,Các hoạt động khác > Công ty CP DICERA Holdings,Công ty CP DICERA Holdings,Cổ tức bằng tiền,10.362.737.000,-,,10362737000.0,
Công ty CP DICERA Holdings,Các hoạt động khác > Công ty CP DICERA Holdings,Công ty CP DICERA Holdings,Nhận trước tiền,510.517.769.779,-,,510517769779.0,
Công ty CP DICERA Holdings,Công ty CP DICERA Holdings,Công ty CP DICERA Holdings,bất động sản,,,,,
Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP DICERA Holdings > Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Chi phí dịch vụ,2.603.855.133,2.528.112.834,,2603855133.0,2528112834.0
Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP DICERA Holdings > Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Lãi cho vay,17.571.779.154,34.226.563.974,,17571779154.0,34226563974.0
Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP DICERA Holdings > Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Cho vay,-,82.000.000.000,,,82000000000.0
Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP DICERA Holdings > Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Thu gốc vay,110.064.637.167,36.350.000.000,,110064637167.0,36350000000.0
Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Công ty CP DICERA Holdings > Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Cổ tức bằng tiền,1.354.493.500,2.167.189.600,,1354493500.0,2167189600.0
Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Công ty CP DICERA Holdings > Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,"Mua hàng hóa, dịch vụ",42.250.659.196,-,,42250659196.0,
Công ty CP Đầu tư Phát triển Xây dựng Hội An,Công ty CP DICERA Holdings > Công ty CP Đầu tư Phát triển Xây dựng Hội An,Công ty CP Đầu tư Phát triển Xây dựng Hội An,Cổ tức bằng tiền,25.875.000,22.500.000,,25875000.0,22500000.0
