row_label_raw,row_label_full,b. Investments in associates,End of year,End of year_1,Beginning of year,Beginning of year_1,numeric__End of year,numeric__End of year_1,numeric__Beginning of year,numeric__Beginning of year_1
b. Investments in associates,b. Investments in associates,b. Investments in associates,%,Equity method value VND,%,Equity method value VND,,,,
DICERA Holdings Joint Stock Company,b. Investments in associates > DICERA Holdings Joint Stock Company,DICERA Holdings Joint Stock Company,25.33,"205,303,662,103",35.89,"185,758,119,153",2533.0,,3589.0,
Development Investment Construction - Concrete Joint Stock Company,b. Investments in associates > Development Investment Construction - Concrete Joint Stock Company,Development Investment Construction - Concrete Joint Stock Company,36,"47,233,838,615",36,"46,834,604,975",36.0,,36.0,
D.I.C Real Estate Joint Stock Company,b. Investments in associates > D.I.C Real Estate Joint Stock Company,D.I.C Real Estate Joint Stock Company,42.68,"71,852,693,307",42.68,"63,844,532,031",4268.0,,4268.0,
Southern Development And Investment Joint Stock Company,b. Investments in associates > Southern Development And Investment Joint Stock Company,Southern Development And Investment Joint Stock Company,43.35,-,43.35,-,4335.0,,4335.0,
Total,Total,Total,,"324,390,194,025",,"296,437,256,159",,,,
