row_label_raw,row_label_full,col_0,End of year Shares,Beginning of year Shares,numeric__End of year Shares,numeric__Beginning of year Shares
Registered number of shares issued,Registered number of shares issued,Registered number of shares issued,"796,431,191","609,851,995",,
Number of shares sold to the public,Number of shares sold to the public,Number of shares sold to the public,"796,431,191","609,851,995",,
- Ordinary shares,- Ordinary shares,- Ordinary shares,"796,431,191","609,851,995",,
Number of shares acquired,Number of shares acquired,Number of shares acquired,-,-,,
Number of shares in issue,Number of shares in issue,Number of shares in issue,"796,431,191","609,851,995",,
- Ordinary shares,- Ordinary shares,- Ordinary shares,"796,431,191","609,851,995",,
"Par value of shares in issue: 10,000 VND.","Par value of shares in issue: 10,000 VND.","Par value of shares in issue: 10,000 VND.","Par value of shares in issue: 10,000 VND.","Par value of shares in issue: 10,000 VND.",,
