row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dưvốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tưphát triển,Lợi nhuậnsau thuế chưaphân phối,Tổng cộng,numeric__Vốn cổ phần,numeric__Thăng dưvốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tưphát triển,numeric__Lợi nhuậnsau thuế chưaphân phối,numeric__Tổng cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,2.597.025.750.000,988.508.364.367,(296.730.939.400),5.940.860.165,1.579.156.942.010,4.873.900.977.142,2597025750000.0,988508364367.0,-296730939400.0,5940860165.0,1579156942010.0,4873900977142.0
Cổ tức bằng cổ phiếu (i),Năm nay > Cổ tức bằng cổ phiếu (i),Cổ tức bằng cổ phiếu (i),238.937.160.000,-,-,-,(238.937.160.000),-,238937160000.0,,,,-238937160000.0,
Phát hành cổ phiếu,Năm nay > Phát hành cổ phiếu,Phát hành cổ phiếu,16.743.690.000,-,-,-,-,16.743.690.000,16743690000.0,,,,,16743690000.0
Lợi nhuận thuầntrong năm,Năm nay > Lợi nhuận thuầntrong năm,Lợi nhuận thuầntrong năm,-,-,-,-,640.466.019.387,640.466.019.387,,,,,640466019387.0,640466019387.0
Cổ tức bằng tiềncộng bố (ii),Năm nay > Cổ tức bằng tiềncộng bố (ii),Cổ tức bằng tiềncộng bố (ii),-,-,-,-,(244.305.142.405),(244.305.142.405),,,,,-244305142405.0,-244305142405.0
Trích lập quỹ khenthường phúc lợi (iii),Năm nay > Trích lập quỹ khenthường phúc lợi (iii),Trích lập quỹ khenthường phúc lợi (iii),-,-,-,-,(48.420.000.000),(48.420.000.000),,,,,-48420000000.0,-48420000000.0
Lương thường củahội đồng quản trị,Năm nay > Lương thường củahội đồng quản trị,Lương thường củahội đồng quản trị,-,-,-,-,(9.610.000.000),(9.610.000.000),,,,,-9610000000.0,-9610000000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,2.852.706.600.000,988.508.364.367,(296.730.939.400),5.940.860.165,1.678.350.658.992,5.228.775.544.124,2852706600000.0,988508364367.0,-296730939400.0,5940860165.0,1678350658992.0,5228775544124.0
"(i) Vào ngày 13 tháng 10 năm 2020, Công ty đã phát hành thêm 23.893.716 cổ phiếu theo mệnh giá là 10.000/cổ phiếu theo tỷ lệ 9,57% để trả cổtức cho cổ đông hiện hữu. Việc phát hành cổ phiếu này được thực hiện từ nguồn lợi nhuận chưa phân phối tại ngày 31 tháng 12 năm 2019,được phê duyệt bởi Nghị quyết Đại Hội đồng Cổ đông Số 01/2020/NQ/DHĐCD/NLG ngày 4 tháng 5 năm 2020.Vào ngày 13 tháng 10 năm 2020, Công ty đã nhận được Công văn số 6122/UBCK-QLCB của Ủy ban Chứng khoán Nhà nước chấp thuận việcphát hành mới cổ phiếu phổ thông theo Chương trình lựa chọn cho cán bộ quản lý cấp cao của Công ty. Theo đó, Công ty phát hành mới1.674.369 cổ phiếu với giá phát hành là 10.000 VND/cổ phiếu cho cán bộ quản lý cấp cao Công ty phù hợp với Nghị quyết Đại Hội đồng Cổ đôngSố 01/2020/NQ/DHĐCD/NLG ngày 4 tháng 5 năm 2020 và Nghị quyết Hội đồng Quản trị Số 32/2020/NQ/DHĐCD/NLG ngày 5 tháng 10 năm2020. Vào ngày 13 tháng 11 năm 2020, Công ty đã được Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp Giấy Chứng nhận Đăng ký Kinhdoanh điều chỉnh lần thứ 22, chấp thuận cho việc tăng vốn nói trên.(ii) Theo Nghị quyết Hội đồng Quản trị Số 13/2020/NQ/HĐQT/NLG ngày 25 tháng 5 năm 2020 và Số 37/2020/NQ/HĐQT/NLG ngày 25 tháng 11năm 2020, các cổ đông của Công ty đã thông qua việc trả cổ tức năm 2019 bằng tiền mặt tại mức 4,79% và tạm ứng cổ tức năm 2020 bằng tiền mặt tại mức 4.53% trên mệnh giá cổ phiếu phổ thông.(iii) Theo Nghị quyết Đại Hội đồng Cổ đông Thường niên Số 01/2020/NQ/DHĐCD/NLG ngày 4 tháng 5 năm 2020, các cổ đông của Công ty đã thôngqua mức trích lập quỹ khen thưởng là 4% lợi nhuận sau thuế năm 2019 của Công ty, kèm quỹ phúc lợi là 10 tỷ VND.","(i) Vào ngày 13 tháng 10 năm 2020, Công ty đã phát hành thêm 23.893.716 cổ phiếu theo mệnh giá là 10.000/cổ phiếu theo tỷ lệ 9,57% để trả cổtức cho cổ đông hiện hữu. Việc phát hành cổ phiếu này được thực hiện từ nguồn lợi nhuận chưa phân phối tại ngày 31 tháng 12 năm 2019,được phê duyệt bởi Nghị quyết Đại Hội đồng Cổ đông Số 01/2020/NQ/DHĐCD/NLG ngày 4 tháng 5 năm 2020.Vào ngày 13 tháng 10 năm 2020, Công ty đã nhận được Công văn số 6122/UBCK-QLCB của Ủy ban Chứng khoán Nhà nước chấp thuận việcphát hành mới cổ phiếu phổ thông theo Chương trình lựa chọn cho cán bộ quản lý cấp cao của Công ty. Theo đó, Công ty phát hành mới1.674.369 cổ phiếu với giá phát hành là 10.000 VND/cổ phiếu cho cán bộ quản lý cấp cao Công ty phù hợp với Nghị quyết Đại Hội đồng Cổ đôngSố 01/2020/NQ/DHĐCD/NLG ngày 4 tháng 5 năm 2020 và Nghị quyết Hội đồng Quản trị Số 32/2020/NQ/DHĐCD/NLG ngày 5 tháng 10 năm2020. Vào ngày 13 tháng 11 năm 2020, Công ty đã được Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp Giấy Chứng nhận Đăng ký Kinhdoanh điều chỉnh lần thứ 22, chấp thuận cho việc tăng vốn nói trên.(ii) Theo Nghị quyết Hội đồng Quản trị Số 13/2020/NQ/HĐQT/NLG ngày 25 tháng 5 năm 2020 và Số 37/2020/NQ/HĐQT/NLG ngày 25 tháng 11năm 2020, các cổ đông của Công ty đã thông qua việc trả cổ tức năm 2019 bằng tiền mặt tại mức 4,79% và tạm ứng cổ tức năm 2020 bằng tiền mặt tại mức 4.53% trên mệnh giá cổ phiếu phổ thông.(iii) Theo Nghị quyết Đại Hội đồng Cổ đông Thường niên Số 01/2020/NQ/DHĐCD/NLG ngày 4 tháng 5 năm 2020, các cổ đông của Công ty đã thôngqua mức trích lập quỹ khen thưởng là 4% lợi nhuận sau thuế năm 2019 của Công ty, kèm quỹ phúc lợi là 10 tỷ VND.","(i) Vào ngày 13 tháng 10 năm 2020, Công ty đã phát hành thêm 23.893.716 cổ phiếu theo mệnh giá là 10.000/cổ phiếu theo tỷ lệ 9,57% để trả cổtức cho cổ đông hiện hữu. Việc phát hành cổ phiếu này được thực hiện từ nguồn lợi nhuận chưa phân phối tại ngày 31 tháng 12 năm 2019,được phê duyệt bởi Nghị quyết Đại Hội đồng Cổ đông Số 01/2020/NQ/DHĐCD/NLG ngày 4 tháng 5 năm 2020.Vào ngày 13 tháng 10 năm 2020, Công ty đã nhận được Công văn số 6122/UBCK-QLCB của Ủy ban Chứng khoán Nhà nước chấp thuận việcphát hành mới cổ phiếu phổ thông theo Chương trình lựa chọn cho cán bộ quản lý cấp cao của Công ty. Theo đó, Công ty phát hành mới1.674.369 cổ phiếu với giá phát hành là 10.000 VND/cổ phiếu cho cán bộ quản lý cấp cao Công ty phù hợp với Nghị quyết Đại Hội đồng Cổ đôngSố 01/2020/NQ/DHĐCD/NLG ngày 4 tháng 5 năm 2020 và Nghị quyết Hội đồng Quản trị Số 32/2020/NQ/DHĐCD/NLG ngày 5 tháng 10 năm2020. Vào ngày 13 tháng 11 năm 2020, Công ty đã được Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp Giấy Chứng nhận Đăng ký Kinhdoanh điều chỉnh lần thứ 22, chấp thuận cho việc tăng vốn nói trên.(ii) Theo Nghị quyết Hội đồng Quản trị Số 13/2020/NQ/HĐQT/NLG ngày 25 tháng 5 năm 2020 và Số 37/2020/NQ/HĐQT/NLG ngày 25 tháng 11năm 2020, các cổ đông của Công ty đã thông qua việc trả cổ tức năm 2019 bằng tiền mặt tại mức 4,79% và tạm ứng cổ tức năm 2020 bằng tiền mặt tại mức 4.53% trên mệnh giá cổ phiếu phổ thông.(iii) Theo Nghị quyết Đại Hội đồng Cổ đông Thường niên Số 01/2020/NQ/DHĐCD/NLG ngày 4 tháng 5 năm 2020, các cổ đông của Công ty đã thôngqua mức trích lập quỹ khen thưởng là 4% lợi nhuận sau thuế năm 2019 của Công ty, kèm quỹ phúc lợi là 10 tỷ VND.","(i) Vào ngày 13 tháng 10 năm 2020, Công ty đã phát hành thêm 23.893.716 cổ phiếu theo mệnh giá là 10.000/cổ phiếu theo tỷ lệ 9,57% để trả cổtức cho cổ đông hiện hữu. Việc phát hành cổ phiếu này được thực hiện từ nguồn lợi nhuận chưa phân phối tại ngày 31 tháng 12 năm 2019,được phê duyệt bởi Nghị quyết Đại Hội đồng Cổ đông Số 01/2020/NQ/DHĐCD/NLG ngày 4 tháng 5 năm 2020.Vào ngày 13 tháng 10 năm 2020, Công ty đã nhận được Công văn số 6122/UBCK-QLCB của Ủy ban Chứng khoán Nhà nước chấp thuận việcphát hành mới cổ phiếu phổ thông theo Chương trình lựa chọn cho cán bộ quản lý cấp cao của Công ty. Theo đó, Công ty phát hành mới1.674.369 cổ phiếu với giá phát hành là 10.000 VND/cổ phiếu cho cán bộ quản lý cấp cao Công ty phù hợp với Nghị quyết Đại Hội đồng Cổ đôngSố 01/2020/NQ/DHĐCD/NLG ngày 4 tháng 5 năm 2020 và Nghị quyết Hội đồng Quản trị Số 32/2020/NQ/DHĐCD/NLG ngày 5 tháng 10 năm2020. Vào ngày 13 tháng 11 năm 2020, Công ty đã được Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp Giấy Chứng nhận Đăng ký Kinhdoanh điều chỉnh lần thứ 22, chấp thuận cho việc tăng vốn nói trên.(ii) Theo Nghị quyết Hội đồng Quản trị Số 13/2020/NQ/HĐQT/NLG ngày 25 tháng 5 năm 2020 và Số 37/2020/NQ/HĐQT/NLG ngày 25 tháng 11năm 2020, các cổ đông của Công ty đã thông qua việc trả cổ tức năm 2019 bằng tiền mặt tại mức 4,79% và tạm ứng cổ tức năm 2020 bằng tiền mặt tại mức 4.53% trên mệnh giá cổ phiếu phổ thông.(iii) Theo Nghị quyết Đại Hội đồng Cổ đông Thường niên Số 01/2020/NQ/DHĐCD/NLG ngày 4 tháng 5 năm 2020, các cổ đông của Công ty đã thôngqua mức trích lập quỹ khen thưởng là 4% lợi nhuận sau thuế năm 2019 của Công ty, kèm quỹ phúc lợi là 10 tỷ VND.","(i) Vào ngày 13 tháng 10 năm 2020, Công ty đã phát hành thêm 23.893.716 cổ phiếu theo mệnh giá là 10.000/cổ phiếu theo tỷ lệ 9,57% để trả cổtức cho cổ đông hiện hữu. Việc phát hành cổ phiếu này được thực hiện từ nguồn lợi nhuận chưa phân phối tại ngày 31 tháng 12 năm 2019,được phê duyệt bởi Nghị quyết Đại Hội đồng Cổ đông Số 01/2020/NQ/DHĐCD/NLG ngày 4 tháng 5 năm 2020.Vào ngày 13 tháng 10 năm 2020, Công ty đã nhận được Công văn số 6122/UBCK-QLCB của Ủy ban Chứng khoán Nhà nước chấp thuận việcphát hành mới cổ phiếu phổ thông theo Chương trình lựa chọn cho cán bộ quản lý cấp cao của Công ty. Theo đó, Công ty phát hành mới1.674.369 cổ phiếu với giá phát hành là 10.000 VND/cổ phiếu cho cán bộ quản lý cấp cao Công ty phù hợp với Nghị quyết Đại Hội đồng Cổ đôngSố 01/2020/NQ/DHĐCD/NLG ngày 4 tháng 5 năm 2020 và Nghị quyết Hội đồng Quản trị Số 32/2020/NQ/DHĐCD/NLG ngày 5 tháng 10 năm2020. Vào ngày 13 tháng 11 năm 2020, Công ty đã được Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp Giấy Chứng nhận Đăng ký Kinhdoanh điều chỉnh lần thứ 22, chấp thuận cho việc tăng vốn nói trên.(ii) Theo Nghị quyết Hội đồng Quản trị Số 13/2020/NQ/HĐQT/NLG ngày 25 tháng 5 năm 2020 và Số 37/2020/NQ/HĐQT/NLG ngày 25 tháng 11năm 2020, các cổ đông của Công ty đã thông qua việc trả cổ tức năm 2019 bằng tiền mặt tại mức 4,79% và tạm ứng cổ tức năm 2020 bằng tiền mặt tại mức 4.53% trên mệnh giá cổ phiếu phổ thông.(iii) Theo Nghị quyết Đại Hội đồng Cổ đông Thường niên Số 01/2020/NQ/DHĐCD/NLG ngày 4 tháng 5 năm 2020, các cổ đông của Công ty đã thôngqua mức trích lập quỹ khen thưởng là 4% lợi nhuận sau thuế năm 2019 của Công ty, kèm quỹ phúc lợi là 10 tỷ VND.","(i) Vào ngày 13 tháng 10 năm 2020, Công ty đã phát hành thêm 23.893.716 cổ phiếu theo mệnh giá là 10.000/cổ phiếu theo tỷ lệ 9,57% để trả cổtức cho cổ đông hiện hữu. Việc phát hành cổ phiếu này được thực hiện từ nguồn lợi nhuận chưa phân phối tại ngày 31 tháng 12 năm 2019,được phê duyệt bởi Nghị quyết Đại Hội đồng Cổ đông Số 01/2020/NQ/DHĐCD/NLG ngày 4 tháng 5 năm 2020.Vào ngày 13 tháng 10 năm 2020, Công ty đã nhận được Công văn số 6122/UBCK-QLCB của Ủy ban Chứng khoán Nhà nước chấp thuận việcphát hành mới cổ phiếu phổ thông theo Chương trình lựa chọn cho cán bộ quản lý cấp cao của Công ty. Theo đó, Công ty phát hành mới1.674.369 cổ phiếu với giá phát hành là 10.000 VND/cổ phiếu cho cán bộ quản lý cấp cao Công ty phù hợp với Nghị quyết Đại Hội đồng Cổ đôngSố 01/2020/NQ/DHĐCD/NLG ngày 4 tháng 5 năm 2020 và Nghị quyết Hội đồng Quản trị Số 32/2020/NQ/DHĐCD/NLG ngày 5 tháng 10 năm2020. Vào ngày 13 tháng 11 năm 2020, Công ty đã được Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp Giấy Chứng nhận Đăng ký Kinhdoanh điều chỉnh lần thứ 22, chấp thuận cho việc tăng vốn nói trên.(ii) Theo Nghị quyết Hội đồng Quản trị Số 13/2020/NQ/HĐQT/NLG ngày 25 tháng 5 năm 2020 và Số 37/2020/NQ/HĐQT/NLG ngày 25 tháng 11năm 2020, các cổ đông của Công ty đã thông qua việc trả cổ tức năm 2019 bằng tiền mặt tại mức 4,79% và tạm ứng cổ tức năm 2020 bằng tiền mặt tại mức 4.53% trên mệnh giá cổ phiếu phổ thông.(iii) Theo Nghị quyết Đại Hội đồng Cổ đông Thường niên Số 01/2020/NQ/DHĐCD/NLG ngày 4 tháng 5 năm 2020, các cổ đông của Công ty đã thôngqua mức trích lập quỹ khen thưởng là 4% lợi nhuận sau thuế năm 2019 của Công ty, kèm quỹ phúc lợi là 10 tỷ VND.","(i) Vào ngày 13 tháng 10 năm 2020, Công ty đã phát hành thêm 23.893.716 cổ phiếu theo mệnh giá là 10.000/cổ phiếu theo tỷ lệ 9,57% để trả cổtức cho cổ đông hiện hữu. Việc phát hành cổ phiếu này được thực hiện từ nguồn lợi nhuận chưa phân phối tại ngày 31 tháng 12 năm 2019,được phê duyệt bởi Nghị quyết Đại Hội đồng Cổ đông Số 01/2020/NQ/DHĐCD/NLG ngày 4 tháng 5 năm 2020.Vào ngày 13 tháng 10 năm 2020, Công ty đã nhận được Công văn số 6122/UBCK-QLCB của Ủy ban Chứng khoán Nhà nước chấp thuận việcphát hành mới cổ phiếu phổ thông theo Chương trình lựa chọn cho cán bộ quản lý cấp cao của Công ty. Theo đó, Công ty phát hành mới1.674.369 cổ phiếu với giá phát hành là 10.000 VND/cổ phiếu cho cán bộ quản lý cấp cao Công ty phù hợp với Nghị quyết Đại Hội đồng Cổ đôngSố 01/2020/NQ/DHĐCD/NLG ngày 4 tháng 5 năm 2020 và Nghị quyết Hội đồng Quản trị Số 32/2020/NQ/DHĐCD/NLG ngày 5 tháng 10 năm2020. Vào ngày 13 tháng 11 năm 2020, Công ty đã được Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp Giấy Chứng nhận Đăng ký Kinhdoanh điều chỉnh lần thứ 22, chấp thuận cho việc tăng vốn nói trên.(ii) Theo Nghị quyết Hội đồng Quản trị Số 13/2020/NQ/HĐQT/NLG ngày 25 tháng 5 năm 2020 và Số 37/2020/NQ/HĐQT/NLG ngày 25 tháng 11năm 2020, các cổ đông của Công ty đã thông qua việc trả cổ tức năm 2019 bằng tiền mặt tại mức 4,79% và tạm ứng cổ tức năm 2020 bằng tiền mặt tại mức 4.53% trên mệnh giá cổ phiếu phổ thông.(iii) Theo Nghị quyết Đại Hội đồng Cổ đông Thường niên Số 01/2020/NQ/DHĐCD/NLG ngày 4 tháng 5 năm 2020, các cổ đông của Công ty đã thôngqua mức trích lập quỹ khen thưởng là 4% lợi nhuận sau thuế năm 2019 của Công ty, kèm quỹ phúc lợi là 10 tỷ VND.","(i) Vào ngày 13 tháng 10 năm 2020, Công ty đã phát hành thêm 23.893.716 cổ phiếu theo mệnh giá là 10.000/cổ phiếu theo tỷ lệ 9,57% để trả cổtức cho cổ đông hiện hữu. Việc phát hành cổ phiếu này được thực hiện từ nguồn lợi nhuận chưa phân phối tại ngày 31 tháng 12 năm 2019,được phê duyệt bởi Nghị quyết Đại Hội đồng Cổ đông Số 01/2020/NQ/DHĐCD/NLG ngày 4 tháng 5 năm 2020.Vào ngày 13 tháng 10 năm 2020, Công ty đã nhận được Công văn số 6122/UBCK-QLCB của Ủy ban Chứng khoán Nhà nước chấp thuận việcphát hành mới cổ phiếu phổ thông theo Chương trình lựa chọn cho cán bộ quản lý cấp cao của Công ty. Theo đó, Công ty phát hành mới1.674.369 cổ phiếu với giá phát hành là 10.000 VND/cổ phiếu cho cán bộ quản lý cấp cao Công ty phù hợp với Nghị quyết Đại Hội đồng Cổ đôngSố 01/2020/NQ/DHĐCD/NLG ngày 4 tháng 5 năm 2020 và Nghị quyết Hội đồng Quản trị Số 32/2020/NQ/DHĐCD/NLG ngày 5 tháng 10 năm2020. Vào ngày 13 tháng 11 năm 2020, Công ty đã được Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp Giấy Chứng nhận Đăng ký Kinhdoanh điều chỉnh lần thứ 22, chấp thuận cho việc tăng vốn nói trên.(ii) Theo Nghị quyết Hội đồng Quản trị Số 13/2020/NQ/HĐQT/NLG ngày 25 tháng 5 năm 2020 và Số 37/2020/NQ/HĐQT/NLG ngày 25 tháng 11năm 2020, các cổ đông của Công ty đã thông qua việc trả cổ tức năm 2019 bằng tiền mặt tại mức 4,79% và tạm ứng cổ tức năm 2020 bằng tiền mặt tại mức 4.53% trên mệnh giá cổ phiếu phổ thông.(iii) Theo Nghị quyết Đại Hội đồng Cổ đông Thường niên Số 01/2020/NQ/DHĐCD/NLG ngày 4 tháng 5 năm 2020, các cổ đông của Công ty đã thôngqua mức trích lập quỹ khen thưởng là 4% lợi nhuận sau thuế năm 2019 của Công ty, kèm quỹ phúc lợi là 10 tỷ VND.","(i) Vào ngày 13 tháng 10 năm 2020, Công ty đã phát hành thêm 23.893.716 cổ phiếu theo mệnh giá là 10.000/cổ phiếu theo tỷ lệ 9,57% để trả cổtức cho cổ đông hiện hữu. Việc phát hành cổ phiếu này được thực hiện từ nguồn lợi nhuận chưa phân phối tại ngày 31 tháng 12 năm 2019,được phê duyệt bởi Nghị quyết Đại Hội đồng Cổ đông Số 01/2020/NQ/DHĐCD/NLG ngày 4 tháng 5 năm 2020.Vào ngày 13 tháng 10 năm 2020, Công ty đã nhận được Công văn số 6122/UBCK-QLCB của Ủy ban Chứng khoán Nhà nước chấp thuận việcphát hành mới cổ phiếu phổ thông theo Chương trình lựa chọn cho cán bộ quản lý cấp cao của Công ty. Theo đó, Công ty phát hành mới1.674.369 cổ phiếu với giá phát hành là 10.000 VND/cổ phiếu cho cán bộ quản lý cấp cao Công ty phù hợp với Nghị quyết Đại Hội đồng Cổ đôngSố 01/2020/NQ/DHĐCD/NLG ngày 4 tháng 5 năm 2020 và Nghị quyết Hội đồng Quản trị Số 32/2020/NQ/DHĐCD/NLG ngày 5 tháng 10 năm2020. Vào ngày 13 tháng 11 năm 2020, Công ty đã được Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp Giấy Chứng nhận Đăng ký Kinhdoanh điều chỉnh lần thứ 22, chấp thuận cho việc tăng vốn nói trên.(ii) Theo Nghị quyết Hội đồng Quản trị Số 13/2020/NQ/HĐQT/NLG ngày 25 tháng 5 năm 2020 và Số 37/2020/NQ/HĐQT/NLG ngày 25 tháng 11năm 2020, các cổ đông của Công ty đã thông qua việc trả cổ tức năm 2019 bằng tiền mặt tại mức 4,79% và tạm ứng cổ tức năm 2020 bằng tiền mặt tại mức 4.53% trên mệnh giá cổ phiếu phổ thông.(iii) Theo Nghị quyết Đại Hội đồng Cổ đông Thường niên Số 01/2020/NQ/DHĐCD/NLG ngày 4 tháng 5 năm 2020, các cổ đông của Công ty đã thôngqua mức trích lập quỹ khen thưởng là 4% lợi nhuận sau thuế năm 2019 của Công ty, kèm quỹ phúc lợi là 10 tỷ VND.",,,,,,
