row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócvà thiết bị,Phương tiệnvận chuyển,Thiết bịvăn phòng,VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận chuyển,numeric__Thiết bịvăn phòng,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,1.403.328.285,506.130.109,6.678.394.329,7.022.373.270,15.610.225.993,1403328285.0,506130109.0,6678394329.0,7022373270.0,15610225993.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,102.079.091,34.000.000,2.403.545.400,2.051.826.000,4.591.450.491,102079091.0,34000000.0,2403545400.0,2051826000.0,4591450491.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,1.505.407.376,540.130.109,9.081.939.729,9.074.199.270,20.201.676.484,1505407376.0,540130109.0,9081939729.0,9074199270.0,20201676484.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,-,506.130.109,948.383.055,2.919.610.816,4.374.123.980,,506130109.0,948383055.0,2919610816.0,4374123980.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(533.264.753),(506.130.109),(3.044.854.897),(3.500.753.567),(7.585.003.326),-533264753.0,-506130109.0,-3044854897.0,-3500753567.0,-7585003326.0
Khẩu hao trong năm,Giá trị khấu hao lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,(199.775.563),(5.666.670),(857.810.560),(1.783.779.820),(2.847.032.613),-199775563.0,-5666670.0,-857810560.0,-1783779820.0,-2847032613.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(733.040.316),(511.796.779),(3.902.665.457),(5.284.533.387),(10.432.035.939),-733040316.0,-511796779.0,-3902665457.0,-5284533387.0,-10432035939.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,870.063.532,-,3.633.539.432,3.521.619.703,8.025.222.667,870063532.0,,3633539432.0,3521619703.0,8025222667.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,772.367.060,28.333.330,5.179.274.272,3.789.665.883,9.769.640.545,772367060.0,28333330.0,5179274272.0,3789665883.0,9769640545.0
