row_label_raw,row_label_full,Bên liên quan > Nam Long PMD > Dịch vụ Nam Long,Mối quan hệ > Công ty con,Nội dung nghiệp vụ > Góp vốnChuyển nhượng mặt bằng các dự án (*)Chi phí thuê văn phòngDịch vụ tư vấn quản lý (*) > Góp vốnDịch vụ quản lýChuyển nhượng vốnKikyo FloraCho vayDịch vụ tư vấn quản lý (*),Năm nay > 47.311.000.00043.010.000.00016.716.658.851913.249.996 > 18.000.000.00014.645.327.61312.542.000.0007.084.000.0001.903.909.116,VNDNăm trước > 180.407.202.000158.407.202.00013.403.748.5465.161.390.331 > 2.500.000.0006.905.542.531-23.000.000.0002.343.012.114,numeric__Mối quan hệ > Công ty con,numeric__Nội dung nghiệp vụ > Góp vốnChuyển nhượng mặt bằng các dự án (*)Chi phí thuê văn phòngDịch vụ tư vấn quản lý (*) > Góp vốnDịch vụ quản lýChuyển nhượng vốnKikyo FloraCho vayDịch vụ tư vấn quản lý (*),numeric__Năm nay > 47.311.000.00043.010.000.00016.716.658.851913.249.996 > 18.000.000.00014.645.327.61312.542.000.0007.084.000.0001.903.909.116,numeric__VNDNăm trước > 180.407.202.000158.407.202.00013.403.748.5465.161.390.331 > 2.500.000.0006.905.542.531-23.000.000.0002.343.012.114
Paragon,Paragon,Paragon,Công ty con,Cho vayThu nhập lãi cho vayChi phí lãi vay,58.500.000.000962.888.889870.853.881,55.000.000.000-2.135.342.466,,,5.850000000096289e+28,
Nam Long ADC,Nam Long ADC,Nam Long ADC,Công ty con,Chi phí lãi vayDịch vụ quản lýDịch vụ tư vấn quản lý (*),10.066.221.0007.122.176.6042.234.681.203,-9.748.509.09110.851.692.800,,,1.0066221000712218e+30,-9.748509091108517e+20
Sản Giao Dịch Nam Long,Sản Giao Dịch Nam Long,Sản Giao Dịch Nam Long,Công ty con,Chi phí hoa hồngDịch vụ tư vấn quản lý (*),71.985.836.799-,51.171.627.4902.104.469.008,,,,5.117162749021045e+20
Nam Khang,Nam Khang,Nam Khang,Công ty con,Chi phí dịch vụ xây dựngVayChi phí lãi vayDịch vụ tư vấn quản lý (*),100.820.558.30940.000.000.0002.965.000.0001.209.256.634,294.436.572.13160.000.000.0001.923.333.3337.241.242.073,,,1.008205583094e+42,2.944365721316e+42
Nam Long VCD,Nam Long VCD,Nam Long VCD,Công ty con,Dịch vụ tổng thầu *)Phí dịch vụ dự ánChi phí lãi vayThuê văn phòngDịch vụ tư vấn quản lý (*),167.198.510.16313.571.044.9396.381.166.6681.275.210.909265.797.962,152.820.694.36325.216.614.6884.316.666.6661.263.499.0891.988.420.412,,,1.6719851016313572e+51,1.5282069436325216e+52
Nguyên Sơn,Nguyên Sơn,Nguyên Sơn,Công ty con,VayThu nhập cổ tứcHoàn vốn gópChi phí lãi vayDịch vụ tổng thầu (*)(Dịch vụ tư vấn quản lý (*),195.000.000.000110.735.301.00041.482.070.00011.046.106.3605.000.000.000-,287.000.000.000116.231.005.000183.394.430.00016.987.886.375120.000.000.0002.102.024.772,,,,2.8700000000011623e+68
