row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Môi quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải thu ngắn hạn của khách hàng (Tี่ M số 7),Phải thu ngắn hạn của khách hàng (Tี่ M số 7),Phải thu ngắn hạn của khách hàng (Tี่ M số 7),Phải thu ngắn hạn của khách hàng (Tี่ M số 7),Phải thu ngắn hạn của khách hàng (Tี่ M số 7),Phải thu ngắn hạn của khách hàng (Tี่ M số 7),Phải thu ngắn hạn của khách hàng (Tี่ M số 7),,,,
Nam Long VCD,Phải thu ngắn hạn của khách hàng (Tี่ M số 7) > Nam Long VCD,Nam Long VCD,Công ty con,Dịch vụ tư vấn quản lý,81.883.423.632,2.187.262.453,,,81883423632.0,2187262453.0
NNH Mizuki,Phải thu ngắn hạn của khách hàng (Tี่ M số 7) > NNH Mizuki,NNH Mizuki,Công ty liên doanh,Dịch vụ tổng thầu,42.600.848.526,47.078.870.300,,,42600848526.0,47078870300.0
Nguyên Sơn,Phải thu ngắn hạn của khách hàng (Tี่ M số 7) > Nguyên Sơn,Nguyên Sơn,Công ty con,Dịch vụ tư vấn quản lý,25.679.365.900,79.479.365.900,,,25679365900.0,79479365900.0
Nam Long PMD,Phải thu ngắn hạn của khách hàng (Tี่ M số 7) > Nam Long PMD,Nam Long PMD,Công ty con,Doanh thu bán trung tâm thương mại,21.595.105.325,24.610.924.689,,,21595105325.0,24610924689.0
Nam Long – Hồng Phát,Phải thu ngắn hạn của khách hàng (Tี่ M số 7) > Nam Long – Hồng Phát,Nam Long – Hồng Phát,Công ty con,Dịch vụ tư vấn quản lý,6.338.721.576,1.850.998.155,,,6338721576.0,1850998155.0
Kikyo Flora,Phải thu ngắn hạn của khách hàng (Tี่ M số 7) > Kikyo Flora,Kikyo Flora,Công ty con,Dịch vụ tổng thầu,-,8.236.862.442,,,,8236862442.0
Nam Long ADC,Phải thu ngắn hạn của khách hàng (Tี่ M số 7) > Nam Long ADC,Nam Long ADC,Công ty con,Dịch vụ tư vấn quản lý,-,6.869.163.683,,,,6869163683.0
Các cá nhân,Phải thu ngắn hạn của khách hàng (Tี่ M số 7) > Các cá nhân,Các cá nhân,Bên liên quan,Bán căn hộ,51.000.000,51.000.000,,,51000000.0,51000000.0
Các công ty khác,Phải thu ngắn hạn của khách hàng (Tี่ M số 7) > Các công ty khác,Các công ty khác,Công ty con,Dịch vụ tư vấn quản lý,5.177.095.446,7.410.861.045,,,5177095446.0,7410861045.0
,,,,,183.325.560.405,177.775.308.667,,,183325560405.0,177775308667.0
