row_label_raw,row_label_full,Bên cho vay,Số cuối năm VND,Ngày đáo hạn,Mục đích vay,Lãi suất (%/năm),Hình thức đầm bảo,numeric__Số cuối năm VND,numeric__Ngày đáo hạn,numeric__Mục đích vay,numeric__Lãi suất (%/năm),numeric__Hình thức đầm bảo
Vay bên liên quan,Vay bên liên quan,Vay bên liên quan,Vay bên liên quan,Vay bên liên quan,Vay bên liên quan,Vay bên liên quan,Vay bên liên quan,,,,,
Nam Phan – Vay 1,Vay bên liên quan > Nam Phan – Vay 1,Nam Phan – Vay 1,289.426.165.000,Ngày 15 tháng 5 năm 2021,Hỗ trợ nhu cầu vốn lưu động,6%,Tín chấp,289426165000.0,,,0.06,
Nguyên Sơn,Vay bên liên quan > Nguyên Sơn,Nguyên Sơn,197.268.439.348,Ngày 22 tháng 4 năm 2021,Hỗ trợ nhu cầu vốn lưu động,6%,Tín chấp,197268439348.0,,,0.06,
ADC – Vay 1,Vay bên liên quan > ADC – Vay 1,ADC – Vay 1,70.000.000.000,Ngày 3 tháng 6 năm 2021,Hỗ trợ nhu cầu vốn lưu động,6%,Tín chấp,70000000000.0,,,0.06,
ADC – Vay 2,Vay bên liên quan > ADC – Vay 2,ADC – Vay 2,50.000.000.000,Ngày 3 tháng 6 năm 2021,Hỗ trợ nhu cầu vốn lưu động,6%,Tín chấp,50000000000.0,,,0.06,
ADC – Vay 3,Vay bên liên quan > ADC – Vay 3,ADC – Vay 3,34.000.000.000,Ngày 26 tháng 3 năm 2021,Hỗ trợ nhu cầu vốn lưu động,8%,Tín chấp,34000000000.0,,,0.08,
VCD,Vay bên liên quan > VCD,VCD,74.000.000.000,Ngày 20 tháng 6 năm 2021,Hỗ trợ nhu cầu vốn lưu động,6%,Tín chấp,74000000000.0,,,0.06,
Nam Long Hồng Phát – Vay 1,Vay bên liên quan > Nam Long Hồng Phát – Vay 1,Nam Long Hồng Phát – Vay 1,37.114.550.326,Ngày 27 tháng 8 năm 2021,Hỗ trợ nhu cầu vốn lưu động,6%,Tín chấp,37114550326.0,,,0.06,
Nam Long Hồng Phát – Vay 2,Vay bên liên quan > Nam Long Hồng Phát – Vay 2,Nam Long Hồng Phát – Vay 2,20.000.000.000,Ngày 23 tháng 8 năm 2021,Hỗ trợ nhu cầu vốn lưu động,6%,Tín chấp,20000000000.0,,,0.06,
Nam Khang,Vay bên liên quan > Nam Khang,Nam Khang,40.000.000.000,Ngày 26 tháng 6 năm 2021,Hỗ trợ nhu cầu vốn lưu động,8.5%,Tín chấp,40000000000.0,,,0.85,
Vận tải Nam Long,Vay bên liên quan > Vận tải Nam Long,Vận tải Nam Long,15.000.000.000,Ngày 7 tháng 3 năm 2021,Hỗ trợ nhu cầu vốn lưu động,6%,Tín chấp,15000000000.0,,,0.06,
TỔNG CỘNG,Vay bên liên quan > TỔNG CỘNG,TỔNG CỘNG,826.809.154.674,,,,,826809154674.0,,,,
