row_label_raw,row_label_full,Bên liên quan > Nam Phan > Nam Long – Hồng Phát,Mối quan hệ > Công ty con,Nội dung nghiệp vụ > Thu nhập cổ tứcVayChi phí lãi vayDịch vụ tư vấnquần lý (*) > VayThu nhập cổ tức vàlãi từ khoản đầu tưChi phí lãi vayDịch vụ tư vấnquần lý (*),Năm nay > 30.679.138.80025.000.000.00017.795.829.3971.660.762.914 > 15.000.000.0007.861.000.0003.684.379.4045.045.063.891,VNDNăm trước > 20.197.099.71032.000.000.00017.395.425.0372.112.989.681 > --------,numeric__Mối quan hệ > Công ty con,numeric__Nội dung nghiệp vụ > Thu nhập cổ tứcVayChi phí lãi vayDịch vụ tư vấnquần lý (*) > VayThu nhập cổ tức vàlãi từ khoản đầu tưChi phí lãi vayDịch vụ tư vấnquần lý (*),numeric__Năm nay > 30.679.138.80025.000.000.00017.795.829.3971.660.762.914 > 15.000.000.0007.861.000.0003.684.379.4045.045.063.891,numeric__VNDNăm trước > 20.197.099.71032.000.000.00017.395.425.0372.112.989.681 > --------
NNH Mizuki,NNH Mizuki,NNH Mizuki,Công tyliên doanh,Dịch vụ tổng thầu (*)Thu nhập cổ tức,159.700.883.39851.989.041.096,166.484.093.455-,,,1.597008833985199e+22,
Southgate,Southgate,Southgate,Công tyliên doanh,Dịch vụ tổng thầu (*)Thu nhập cổ tức,248.276.729.17297.107.260.274,351.914.890.000-,,,2.4827672917297106e+22,
Vận tảiNam Long,Vận tảiNam Long,Vận tảiNam Long,Công ty con,VayGóp vốnDịch vụLãi vay,15.000.000.00012.000.000.000975.403.636512.500.000,---------8.000.000.000-,,,1.500000000012e+39,
Nam LongCMI,Nam LongCMI,Nam LongCMI,Công ty con,Góp vốnDịch vụ tư vấn quảnlý xây dựngDoanh thucho thuê (*),30.000.000.00014.227.790.000700.077.273,--------,,,3.000000000014228e+30,
NLG – NNR –HR Fuji,NLG – NNR –HR Fuji,NLG – NNR –HR Fuji,Công ty con,Ứng trước muađư án AkariDịch vụ tư vấnquần lý (*),350.000.000.000-,500.000.000.00016.088.109.153,,,,5.0000000000016085e+22
Kikyo Flora,Kikyo Flora,Kikyo Flora,Công ty con,Dịch vụ tư vấnquần lý (*),12.588.348.948,319.200.000,,,12588348948.0,319200000.0
Kikyo Valora,Kikyo Valora,Kikyo Valora,Công ty con,Thu nhập cổ tứcDịch vụ tư vấnquần lý (*)Dịch vụ tổng thầu (*),6.500.000.0001.169.416.680-,40.000.000.000565.000.00018.184.540.000,,,,4.0000000000565e+30
(*) Doanh thu cho bên liên quan (TM số 24.1),(*) Doanh thu cho bên liên quan (TM số 24.1),(*) Doanh thu cho bên liên quan (TM số 24.1),(*) Doanh thu cho bên liên quan (TM số 24.1),(*) Doanh thu cho bên liên quan (TM số 24.1),650.876.687.350,1.018.688.970.162,,,650876687350.0,1018688970162.0
