row_label_raw,row_label_full,Bên cho vay,Số cuối nămVND,Ngày đáo hạn,Mục đích vay,Lãi suất(%/năm),Hình thứcđảm bảo,numeric__Số cuối nămVND,numeric__Ngày đáo hạn,numeric__Mục đích vay,numeric__Lãi suất(%/năm),numeric__Hình thứcđảm bảo
Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,,,,,
Ngân hàng TMCPPhương Đông,Vay ngân hàng > Ngân hàng TMCPPhương Đông,Ngân hàng TMCPPhương Đông,200.000.000.000,Ngày 30 tháng 9năm 2022,Tài trợ đầu tư phát triểndự án Akari,"10,2%",Khoản phải thu phát sinhtrong tương lai từ Hợp đồngmua bán và tài khoản tiềngửi tại ngân hàng củaCông ty (TM số 5),200000000000.0,,,0.102,
Ngân hàng TNHH MTVStandard Chartered(Việt Nam),Vay ngân hàng > Ngân hàng TNHH MTVStandard Chartered(Việt Nam),Ngân hàng TNHH MTVStandard Chartered(Việt Nam),200.000.000.000,Ngày 11 tháng 11năm 2022,Tài trợ đầu tư phát triểndự án Akari,"5,4% -5,7%",Khoản phải thu phát sinhtrong tương lai từ Hợp đồngmua bán và tài khoản tiềngửi tại ngân hàng củaCông ty (TM số 5),200000000000.0,,,,
Ngân hàng TNHH MộtThành Viên HSBC(Việt Nam),Vay ngân hàng > Ngân hàng TNHH MộtThành Viên HSBC(Việt Nam),Ngân hàng TNHH MộtThành Viên HSBC(Việt Nam),89.999.606.178,Ngày 13 tháng 5năm 2021,"Tài trợ phát triển dự án nhà ởthương mại dự án Novia tại khuđất với diện tích khoảng \( 8.179 \text{ m}^{2} \)tại Phường Linh Tây,Quận Thủ Đức, TP. HCM","8,0% - 8,2%",Quyền liên quan đến các tài sảnhình thành trong tương lai củadự án Novia(TM số 10),89999606178.0,,,,
TỔNG CỘNG,Vay ngân hàng > TỔNG CỘNG,TỔNG CỘNG,489.999.606.178,,,,,489999606178.0,,,,
Trong đó:- Vay dài hạnđến hạn trả- Vay dài hạn,Vay ngân hàng > Trong đó:- Vay dài hạnđến hạn trả- Vay dài hạn,Trong đó:- Vay dài hạnđến hạn trả- Vay dài hạn,89.999.606.178400.000.000.000,,,,,8.99996061784e+22,,,,
