row_label_raw,row_label_full,Bên cho vay,Số cuối năm VND,Ngày đáo hạn,Mục đích vay,Lãi suất (%/năm),Hình thức đảm bảo,numeric__Số cuối năm VND,numeric__Ngày đáo hạn,numeric__Mục đích vay,numeric__Lãi suất (%/năm),numeric__Hình thức đảm bảo
Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,,,,,
Ngân hàng TMCP Phương Đông,Vay ngân hàng > Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,528.569.864.492,Ngày 23 tháng 12 năm 2021,Hỗ trợ nhu cầu vốn lưu động,"8,2 - 8,3","Thừa 2479, Tờ bản đồ số 5; thừa 779, Tờ bản đồ số 6 và thừa 226, Tờ bản đồ số 5, Xã An Thạnh, Huyện Bến Lức, Tĩnh Long An, sở hữu bởi Nam Long VCD",528569864492.0,,,,
Ngân hàng TMCP Phương Đông OCB,Vay ngân hàng > Ngân hàng TMCP Phương Đông OCB,Ngân hàng TMCP Phương Đông OCB,140.000.000.000,Ngày 27 tháng 4 năm 2021,Hỗ trợ nhu cầu vốn lưu động,"8,1 - 8,5",9.500.000 cổ phiếu của Công ty sở hữu bởi Nam Khang,140000000000.0,,,,
Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh TP.HCM,Vay ngân hàng > Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh TP.HCM,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh TP.HCM,89.923.800.000,Ngày 30 tháng 6 năm 2021,Hỗ trợ nhu cầu vốn lưu động,"6,0",Tín chấp,89923800000.0,,,6.0,
Ngân hàng TNHH MTV Standard Chartered (Việt Nam),Vay ngân hàng > Ngân hàng TNHH MTV Standard Chartered (Việt Nam),Ngân hàng TNHH MTV Standard Chartered (Việt Nam),70.000.000.000,Ngày 13 tháng 11 năm 2021,Hỗ trợ nhu cầu vốn lưu động,"4,5% - 4,6%","Quyền sử dụng đất và tài sản gắn liền với đất tại Xã An Thạnh, Huyện Bến Lức, Tĩnh Long An (TM số 10)",70000000000.0,,,,
TỔNG CỘNG,Vay ngân hàng > TỔNG CỘNG,TỔNG CỘNG,828.493.664.492,,,,,828493664492.0,,,,
