row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Chênh lệch đánh giá lại tài sản,Chênh lệch tỷ giá hối đoái,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Chênh lệch đánh giá lại tài sản,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,201.000.000.000,4.726.187.500,(4.320.000),432.841.146,1.104.247.862,38.387.801.222,6.886.924.872,611.297.938.915,36.404.530.152,900.236.151.669,201000000000.0,4726187500.0,-4320000.0,432841146.0,1104247862.0,38387801222.0,6886924872.0,611297938915.0,36404530152.0,900236151669.0
Tăng vốn trong năm trước,Tăng vốn trong năm trước,Tăng vốn trong năm trước,100.497.840.000,101.110.300.000,-,-,-,-,-,,37.862.639.300,239.470.779.300,100497840000.0,101110300000.0,,,,,,,37862639300.0,239470779300.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,-,-,-,245.468.867.894,129.339.445,245.598.207.339,,,,,,,,245468867894.0,129339445.0,245598207339.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,-,6.997.920.731,-,(6.997.920.731),,-,,,,,,6997920731.0,,-6997920731.0,,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,-,-,-,-,(8.305.591.228),,(8.305.591.228),,,,,,,,-8305591228.0,,-8305591228.0
Trích quỹ thưởng ban điều hành,Trích quỹ thưởng ban điều hành,Trích quỹ thưởng ban điều hành,-,-,-,-,-,-,-,(1.290.308.902),,(1.290.308.902),,,,,,,,-1290308902.0,,-1290308902.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,40.197.010.000,-,-,-,-,-,-,(40.197.010.000),,-,40197010000.0,,,,,,,-40197010000.0,,
Trích quỹ dự trữ bổ sung vốn điều lệ,Trích quỹ dự trữ bổ sung vốn điều lệ,Trích quỹ dự trữ bổ sung vốn điều lệ,-,-,-,-,-,-,2.512.500.000,(2.512.500.000),,-,,,,,,,2512500000.0,-2512500000.0,,
Tăng khác trong năm,Tăng khác trong năm,Tăng khác trong năm,-,-,,-,-,-,,387.956.463,,387.956.463,,,,,,,,387956463.0,,387956463.0
Giảm khác,Giảm khác,Giảm khác,-,(161.818.182),,-,(1.104.247.862),,-,-,(4.363.785.671),(5.629.851.715),,-161818182.0,,,-1104247862.0,,,,-4363785671.0,-5629851715.0
Giảm do không hợp nhất,Giảm do không hợp nhất,Giảm do không hợp nhất,-,-,,-,-,(82.245.509),-,,,(82.245.509),,,,,,-82245509.0,,,,-82245509.0
Số dư cuối kỳ trước,Số dư cuối kỳ trước,Số dư cuối kỳ trước,341.694.850.000,105.674.669.318,(4.320.000),432.841.146,-,45.303.476.444,9.399.424.872,797.851.432.411,70.032.723.226,1.370.385.097.417,341694850000.0,105674669318.0,-4320000.0,432841146.0,,45303476444.0,9399424872.0,797851432411.0,70032723226.0,1370385097417.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,341.694.850.000,105.674.669.318,(4.320.000),432.841.146,-,45.303.476.444,9.399.424.872,797.851.432.411,70.032.723.226,1.370.385.097.417,341694850000.0,105674669318.0,-4320000.0,432841146.0,,45303476444.0,9399424872.0,797851432411.0,70032723226.0,1370385097417.0
Tăng vốn trong năm nay (*),Tăng vốn trong năm nay (*),Tăng vốn trong năm nay (*),410.934.290.000,264.056.514.000,-,-,-,-,-,(296.127.110.000),35.123.500.000,413.987.194.000,410934290000.0,264056514000.0,,,,,,-296127110000.0,35123500000.0,413987194000.0
Tăng vốn trong năm nay bằng tiền,Tăng vốn trong năm nay bằng tiền,Tăng vốn trong năm nay bằng tiền,114.807.180.000,264.056.514.000,-,-,-,-,-,,35.123.500.000,413.987.194.000,114807180000.0,264056514000.0,,,,,,,35123500000.0,413987194000.0
Tăng vốn trong năm nay bằng cổ tức và cổ phiếu thường,Tăng vốn trong năm nay bằng cổ tức và cổ phiếu thường,Tăng vốn trong năm nay bằng cổ tức và cổ phiếu thường,296.127.110.000,-,-,-,-,-,-,(296.127.110.000),-,-,296127110000.0,,,,,,,-296127110000.0,,
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,,-,-,-,-,-,-,304.705.976.919,(75.800.723),304.630.176.196,,,,,,,,304705976919.0,-75800723.0,304630176196.0
Trích quỹ đầu tư phát triển (*),Trích quỹ đầu tư phát triển (*),Trích quỹ đầu tư phát triển (*),-,-,-,-,-,11.484.996.679,-,(11.484.996.679),-,-,,,,,,11484996679.0,,-11484996679.0,,
Trích quỹ khen thưởng phúc lợi (*),Trích quỹ khen thưởng phúc lợi (*),Trích quỹ khen thưởng phúc lợi (*),-,-,-,-,-,-,-,(20.053.963.770),(17.194.100),(20.071.157.870),,,,,,,,-20053963770.0,-17194100.0,-20071157870.0
Trích quỹ thưởng ban điều hành (*),Trích quỹ thưởng ban điều hành (*),Trích quỹ thưởng ban điều hành (*),-,-,-,-,-,-,-,(3.302.078.628),-,(3.302.078.628),,,,,,,,-3302078628.0,,-3302078628.0
Trích quỹ dự trữ bổ sung vốn điều lệ (*),Trích quỹ dự trữ bổ sung vốn điều lệ (*),Trích quỹ dự trữ bổ sung vốn điều lệ (*),-,-,-,-,-,-,4.285.509.605,(4.299.271.860),-,(13.762.255),,,,,,,4285509605.0,-4299271860.0,,-13762255.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,-,-,-,4.257.466,2.907.093,7.164.559,,,,,,,,4257466.0,2907093.0,7164559.0
Giảm khác,Giảm khác,Giảm khác,-,(100.000.000),-,,-,,-,(2.357.581.499),(490.919.277),(2.948.500.776),,-100000000.0,,,,,,-2357581499.0,-490919277.0,-2948500776.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,752.629.140.000,369.631.183.318,(4.320.000),432.841.146,-,56.788.473.123,13.684.934.477,764.936.664.360,104.575.216.219,2.062.674.132.643,752629140000.0,369631183318.0,-4320000.0,432841146.0,,56788473123.0,13684934477.0,764936664360.0,104575216219.0,2062674132643.0
