row_label_raw,row_label_full,col_0,Xây lắp,Sản xuất công nghiệp,Bất động sản,Thủy điện,Các hoạt động khác,Tổng cộng toàn doanh nghiệp,numeric__Xây lắp,numeric__Sản xuất công nghiệp,numeric__Bất động sản,numeric__Thủy điện,numeric__Các hoạt động khác,numeric__Tổng cộng toàn doanh nghiệp
,,,VND,VND,VND,VND,VND,VND,,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,1.815.135.749.417,517.103.093.250,472.418.122.327,8.975.967.624,194.582.331.407,3.008.215.264.025,1815135749417.0,517103093250.0,472418122327.0,8975967624.0,194582331407.0,3008215264025.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,1.552.199.720.836,429.080.703.043,327.310.504.030,4.926.682.501,168.100.936.746,2.481.618.547.156,1552199720836.0,429080703043.0,327310504030.0,4926682501.0,168100936746.0,2481618547156.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,262.936.028.581,88.022.390.207,145.107.618.297,4.049.285.123,26.481.394.661,526.596.716.869,262936028581.0,88022390207.0,145107618297.0,4049285123.0,26481394661.0,526596716869.0
Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,10.050.984.404,9.565.406.813,24.269.520.970,1.308.141.915.997,9.599.276.096,1.361.627.104.280,10050984404.0,9565406813.0,24269520970.0,1308141915997.0,9599276096.0,1361627104280.0
Tải sản bộ phận,Tải sản bộ phận,Tải sản bộ phận,935.135.872.165,356.928.060.284,472.420.910.286,2.066.724.871.042,156.496.558.556,3.987.706.272.333,935135872165.0,356928060284.0,472420910286.0,2066724871042.0,156496558556.0,3987706272333.0
Tải sản không phân bổ,Tải sản không phân bổ,Tải sản không phân bổ,-,-,-,-,-,541.844.734.841,,,,,,541844734841.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,935.135.872.165,356.928.060.284,472.420.910.286,2.066.724.871.042,156.496.558.556,4.529.551.007.174,935135872165.0,356928060284.0,472420910286.0,2066724871042.0,156496558556.0,4529551007174.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,732.463.827.277,213.429.681.515,162.513.601.333,1.313.343.733.957,19.850.016.876,2.441.600.860.958,732463827277.0,213429681515.0,162513601333.0,1313343733957.0,19850016876.0,2441600860958.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,-,-,-,-,-,25.110.228.728,,,,,,25110228728.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,732.463.827.277,213.429.681.515,162.513.601.333,1.313.343.733.957,19.850.016.876,2.466.711.089.686,732463827277.0,213429681515.0,162513601333.0,1313343733957.0,19850016876.0,2466711089686.0
