row_label_raw,row_label_full,Tên công ty,Địa chỉ,Tỷ lệ biểu quyết,Tỷ lệ thực góp,numeric__Địa chỉ,numeric__Tỷ lệ biểu quyết,numeric__Tỷ lệ thực góp
Công ty TNHH MTV Xây lắp diện 1 - Đại Mỗ,Công ty TNHH MTV Xây lắp diện 1 - Đại Mỗ,Công ty TNHH MTV Xây lắp diện 1 - Đại Mỗ,"Phố Chợ, Phường Đại Mỗ, Quận Nam Từ Liêm, thành phố Hà Nội",100%,100%,,1.0,1.0
Công ty TNHH MTV Xây lắp diện 1 - Hà Nội,Công ty TNHH MTV Xây lắp diện 1 - Hà Nội,Công ty TNHH MTV Xây lắp diện 1 - Hà Nội,"Số 583 Km 9 đường Nguyễn Trãi, Văn Quán, Q. Hà Đông, TP Hà Nội",100%,100%,,1.0,1.0
Công ty TNHH MTV Xây lắp diện 1 - Miền Nam,Công ty TNHH MTV Xây lắp diện 1 - Miền Nam,Công ty TNHH MTV Xây lắp diện 1 - Miền Nam,"Cao ốc An Khang, số 28 Đường 19, Khu phố 5, Phường An Phú, Quận 2, Hồ Chí Minh",100%,100%,,1.0,1.0
Công ty TNHH MTV Xây lắp diện 1 - Miền Bắc,Công ty TNHH MTV Xây lắp diện 1 - Miền Bắc,Công ty TNHH MTV Xây lắp diện 1 - Miền Bắc,"Phố Chợ, Phường Đại Mỗ, Quận Nam Từ Liêm, thành phố Hà Nội",100%,100%,,1.0,1.0
Công ty TNHH MTV Xây lắp diện 1 - Mỹ Đình,Công ty TNHH MTV Xây lắp diện 1 - Mỹ Đình,Công ty TNHH MTV Xây lắp diện 1 - Mỹ Đình,"Số 138 Trần Bình, P. Mỹ Đình 2, Q Nam Từ Liêm, thành phố Hà Nội",100%,100%,,1.0,1.0
Công ty TNHH MTV Xây lắp diện 1 - Từ Liêm,Công ty TNHH MTV Xây lắp diện 1 - Từ Liêm,Công ty TNHH MTV Xây lắp diện 1 - Từ Liêm,"Tổ 19, P. Xuân Phương, Q. Nam Từ Liêm, Hà Nội",100%,100%,,1.0,1.0
Công ty TNHH MTV Xây lắp diện 1 - Hà Đông,Công ty TNHH MTV Xây lắp diện 1 - Hà Đông,Công ty TNHH MTV Xây lắp diện 1 - Hà Đông,"Thôn Văn La, phường Phú La, quận Hà Đông, Hà Nội.",100%,100%,,1.0,1.0
Công ty TNHH MTV Xây lắp diện 1 - Nàng Hương,Công ty TNHH MTV Xây lắp diện 1 - Nàng Hương,Công ty TNHH MTV Xây lắp diện 1 - Nàng Hương,"Số 583 Km 9 đường Nguyễn Trãi, Văn Quán, Q. Hà Đông, TP Hà Nội",100%,100%,,1.0,1.0
Công ty TNHH MTV Xây lắp diện 1 - Hoàng Mai,Công ty TNHH MTV Xây lắp diện 1 - Hoàng Mai,Công ty TNHH MTV Xây lắp diện 1 - Hoàng Mai,"Số 471, đường Nguyễn Tam Trinh, P. Hoàng Văn Thụ, Q. Hoàng Mai, Hà Nội",100%,100%,,1.0,1.0
Công ty TNHH Chế tạo Cột thép Đông Anh,Công ty TNHH Chế tạo Cột thép Đông Anh,Công ty TNHH Chế tạo Cột thép Đông Anh,"Tổ 23, thị trấn Đông Anh, thành phố Hà Nội",100%,100%,,1.0,1.0
Công ty Cổ phần Hóa phẩm Phụ gia Việt Nam,Công ty Cổ phần Hóa phẩm Phụ gia Việt Nam,Công ty Cổ phần Hóa phẩm Phụ gia Việt Nam,"P. Xuân Phương, Q. Nam Từ Liêm, Hà Nội",51%,48%,,0.51,0.48
Công ty Cổ phần Đầu tư An Phú,Công ty Cổ phần Đầu tư An Phú,Công ty Cổ phần Đầu tư An Phú,"Cụm Công nghiệp Tân Tiến, xã Tân Tiến, Văn Giang, Hưng Yên.",100%,100%,,1.0,1.0
Công ty Cổ phần Thủy diện Trung Thu,Công ty Cổ phần Thủy diện Trung Thu,Công ty Cổ phần Thủy diện Trung Thu,"Số nhà 157, Tổ dân phố 16 phường Tân Thanh, TP Điện Biên Phù",60%,60%,,0.6,0.6
Công ty Cổ phần Đầu tư Địa ốc Mỹ Đình,Công ty Cổ phần Đầu tư Địa ốc Mỹ Đình,Công ty Cổ phần Đầu tư Địa ốc Mỹ Đình,Thôn Đình Thôn - Mỹ Đình 1 - Quận Nam từ liêm - Hà nội,"99,33%","99,33%",,0.9933,0.9933
Công ty Cổ phần Lắp máy Công nghiệp Việt Nam,Công ty Cổ phần Lắp máy Công nghiệp Việt Nam,Công ty Cổ phần Lắp máy Công nghiệp Việt Nam,"Số 138 Trần Bình, P Mỹ Đình 2, Q Nam Từ Liêm, Hà Nội",51%,51%,,0.51,0.51
Công ty Cổ phần Thủy diện Bảo Lâm,Công ty Cổ phần Thủy diện Bảo Lâm,Công ty Cổ phần Thủy diện Bảo Lâm,"Thôn Nà Pồng, Huyện Bảo Lâm, Tỉnh Cao Bằng",100%,100%,,1.0,1.0
Công ty Cổ phần Cơ khí Ô tô Hòa Bình,Công ty Cổ phần Cơ khí Ô tô Hòa Bình,Công ty Cổ phần Cơ khí Ô tô Hòa Bình,"Số 44 Phố Triều Khúc, P.Thanh Xuân Nam, Q.Thanh Xuân, Hà Nội","98,42%","98,42%",,0.9842,0.9842
