row_label_raw,row_label_full,Tên công ty,Địa chỉ,Hoạt động kinh doanh chính,Tỷ lệ biểu quyết,Tỷ lệ thực góp,numeric__Địa chỉ,numeric__Hoạt động kinh doanh chính,numeric__Tỷ lệ biểu quyết,numeric__Tỷ lệ thực góp
Công ty Cổ phần Gang thép Cao Bằng,Công ty Cổ phần Gang thép Cao Bằng,Công ty Cổ phần Gang thép Cao Bằng,Cao Bằng,"Khai thác, chế biến và kinh doanh các loại khoáng sản","25,09%","25,09%",,,0.2509,0.2509
Công ty Cổ phần Khoáng sản Tấn Phát,Công ty Cổ phần Khoáng sản Tấn Phát,Công ty Cổ phần Khoáng sản Tấn Phát,Cao Bằng,"Khai thác, chế biến và kinh doanh các loại khoáng sản","28,76%","28,76%",,,0.2876,0.2876
