row_label_raw,row_label_full,col_0,Số phải thu đầu năm,Số phải nộp đầu năm,Số phải nộp trong năm,Tăng khác (*),Số đã thực nộp trong năm,Số phải thu cuối năm,Số phải nộp cuối năm,numeric__Số phải thu đầu năm,numeric__Số phải nộp đầu năm,numeric__Số phải nộp trong năm,numeric__Tăng khác (*),numeric__Số đã thực nộp trong năm,numeric__Số phải thu cuối năm,numeric__Số phải nộp cuối năm
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Thuế Giá trị gia tăng,Thuế Giá trị gia tăng,Thuế Giá trị gia tăng,-,24.122.092.532,69.702.920.286,293.381.753,84.014.757.149,105.162.495,10.208.799.917,,24122092532.0,69702920286.0,293381753.0,84014757149.0,105162495.0,10208799917.0
"Thuế Xuất khẩu, Nhập khẩu","Thuế Xuất khẩu, Nhập khẩu","Thuế Xuất khẩu, Nhập khẩu",-,-,997.984.786,-,997.984.786,-,-,,,997984786.0,,997984786.0,,
Thuế Thu nhập doanh nghiệp,Thuế Thu nhập doanh nghiệp,Thuế Thu nhập doanh nghiệp,65.263.724,49.361.311.340,78.915.269.310,619.668.285,79.938.970.117,28.401.850,48.920.416.944,65263724.0,49361311340.0,78915269310.0,619668285.0,79938970117.0,28401850.0,48920416944.0
Thuế Thu nhập cá nhân,Thuế Thu nhập cá nhân,Thuế Thu nhập cá nhân,8.613.474,587.354.759,3.850.665.446,125.640.555,4.031.595.975,3.000.000,526.451.311,8613474.0,587354759.0,3850665446.0,125640555.0,4031595975.0,3000000.0,526451311.0
Thuế Tài nguyên,Thuế Tài nguyên,Thuế Tài nguyên,-,-,486.609.488,-,-,-,486.609.488,,,486609488.0,,,,486609488.0
"Thuế Nhà đất, Tiền thuê đất","Thuế Nhà đất, Tiền thuê đất","Thuế Nhà đất, Tiền thuê đất",-,19.068.195.626,95.497.960.615,221.077.556,69.133.811.513,109.815,45.653.532.099,,19068195626.0,95497960615.0,221077556.0,69133811513.0,109815.0,45653532099.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,134.400,658.359.382,-,658.493.782,-,-,,134400.0,658359382.0,,658493782.0,,
"Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác",-,18.921.478,1.623.054.343,-,1.641.975.821,-,-,,18921478.0,1623054343.0,,1641975821.0,,
,,,73.877.198,93.158.010.135,251.732.823.656,1.259.768.149,240.417.589.143,136.674.160,105.795.809.759,73877198.0,93158010135.0,251732823656.0,1259768149.0,240417589143.0,136674160.0,105795809759.0
