row_label_raw,row_label_full,col_0,Chung cư NàngHươngVND,Chung cư Mỹ ĐìnhPlazaVND,Chung cư PCC1 HàĐông ComplexVND,CộngVND,numeric__Chung cư NàngHươngVND,numeric__Chung cư Mỹ ĐìnhPlazaVND,numeric__Chung cư PCC1 HàĐông ComplexVND,numeric__CộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,11.076.525.175,85.271.905.313,-,96.348.430.488,11076525175.0,85271905313.0,,96348430488.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,24.269.520.970,24.269.520.970,,,24269520970.0,24269520970.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,11.076.525.175,85.271.905.313,24.269.520.970,120.617.951.458,11076525175.0,85271905313.0,24269520970.0,120617951458.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,2.105.632.368,6.526.037.386,-,8.631.669.754,2105632368.0,6526037386.0,,8631669754.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,399.871.729,3.739.381.115,489.379.929,4.628.632.773,399871729.0,3739381115.0,489379929.0,4628632773.0
,,,2.505.504.097,10.265.418.501,489.379.929,13.260.302.527,2505504097.0,10265418501.0,489379929.0,13260302527.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,8.970.892.807,78.745.867.927,-,87.716.760.734,8970892807.0,78745867927.0,,87716760734.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,8.571.021.078,75.006.486.812,23.780.141.041,107.357.648.931,8571021078.0,75006486812.0,23780141041.0,107357648931.0
