row_label_raw,row_label_full,Tên công ty nhận đầu tư,Địa chỉ,Hoạt động kinh doanh chính,Tỷ lệ biểu quyết,Tỷ lệ thực góp,numeric__Địa chỉ,numeric__Hoạt động kinh doanh chính,numeric__Tỷ lệ biểu quyết,numeric__Tỷ lệ thực góp
Công ty Cổ phần Bê tông Ly tâm Vinaincon,Công ty Cổ phần Bê tông Ly tâm Vinaincon,Công ty Cổ phần Bê tông Ly tâm Vinaincon,Hải Dương,Sản xuất bê tông và các sản phẩm từ xi măng và thạch cao,"10,00%","10,00%",,,0.1,0.1
Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam (BIDV),Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam (BIDV),Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam (BIDV),Hà Nội,Ngân hàng,"0,0014%","0,0014%",,,1.4e-05,1.4e-05
