row_label_raw,row_label_full,VAY VÀ NỘ THUÊ TÀI CHÍNH (tiếp theo),VAY VÀ NỘ THUÊ TÀI CHÍNH (tiếp theo)_1,VAY VÀ NỘ THUÊ TÀI CHÍNH (tiếp theo)_2,VAY VÀ NỘ THUÊ TÀI CHÍNH (tiếp theo)_3,VAY VÀ NỘ THUÊ TÀI CHÍNH (tiếp theo)_4,VAY VÀ NỘ THUÊ TÀI CHÍNH (tiếp theo)_5,VAY VÀ NỘ THUÊ TÀI CHÍNH (tiếp theo)_6,numeric__VAY VÀ NỘ THUÊ TÀI CHÍNH (tiếp theo)_1,numeric__VAY VÀ NỘ THUÊ TÀI CHÍNH (tiếp theo)_2,numeric__VAY VÀ NỘ THUÊ TÀI CHÍNH (tiếp theo)_3,numeric__VAY VÀ NỘ THUÊ TÀI CHÍNH (tiếp theo)_4,numeric__VAY VÀ NỘ THUÊ TÀI CHÍNH (tiếp theo)_5,numeric__VAY VÀ NỘ THUÊ TÀI CHÍNH (tiếp theo)_6
,,,Số cuối năm,Số cuối năm,Trong năm,Trong năm,Số đầu năm,Số đầu năm,,,,,,
a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,Giá trị,Số có khả năng trả nợ,Tăng,Giảm,Giá trị,Số có khả năng trả nợ,,,,,,
Vay ngắn hạn - USD,a) Vay ngắn hạn > Vay ngắn hạn - USD,Vay ngắn hạn - USD,411.481.200.000,411.481.200.000,418.462.200.000,405.576.600.000,398.595.600.000,398.595.600.000,411481200000.0,411481200000.0,418462200000.0,405576600000.0,398595600000.0,398595600000.0
Bên khác,a) Vay ngắn hạn > Bên khác,Bên khác,411.481.200.000,411.481.200.000,418.462.200.000,405.576.600.000,398.595.600.000,398.595.600.000,411481200000.0,411481200000.0,418462200000.0,405576600000.0,398595600000.0,398595600000.0
- Ngân Hàng First Commercial Bank - Chi Nhánh Tp.HCM,a) Vay ngắn hạn > - Ngân Hàng First Commercial Bank - Chi Nhánh Tp.HCM,- Ngân Hàng First Commercial Bank - Chi Nhánh Tp.HCM,411.481.200.000,411.481.200.000,418.462.200.000,405.576.600.000,398.595.600.000,398.595.600.000,411481200000.0,411481200000.0,418462200000.0,405576600000.0,398595600000.0,398595600000.0
Nợ dài hạn đến hạn trả - VND,a) Vay ngắn hạn > Nợ dài hạn đến hạn trả - VND,Nợ dài hạn đến hạn trả - VND,421.277.500.000,421.277.500.000,421.277.500.000,295.934.000.000,295.934.000.000,295.934.000.000,421277500000.0,421277500000.0,421277500000.0,295934000000.0,295934000000.0,295934000000.0
Bên khác,a) Vay ngắn hạn > Bên khác,Bên khác,421.277.500.000,421.277.500.000,421.277.500.000,295.934.000.000,295.934.000.000,295.934.000.000,421277500000.0,421277500000.0,421277500000.0,295934000000.0,295934000000.0,295934000000.0
- Ngân Hàng Công Thương - CN Đồng Tháp,a) Vay ngắn hạn > - Ngân Hàng Công Thương - CN Đồng Tháp,- Ngân Hàng Công Thương - CN Đồng Tháp,292.000.000.000,292.000.000.000,292.000.000.000,284.000.000.000,284.000.000.000,284.000.000.000,292000000000.0,292000000000.0,292000000000.0,284000000000.0,284000000000.0,284000000000.0
- Ngân hàng TMCP Việt Nam Thịnh Vương - CN An Giang,a) Vay ngắn hạn > - Ngân hàng TMCP Việt Nam Thịnh Vương - CN An Giang,- Ngân hàng TMCP Việt Nam Thịnh Vương - CN An Giang,55.736.000.000,55.736.000.000,55.736.000.000,11.934.000.000,11.934.000.000,11.934.000.000,55736000000.0,55736000000.0,55736000000.0,11934000000.0,11934000000.0,11934000000.0
- Ngân hàng TMCP Thịnh Vương và Phát Triển - CN Hà Nội,a) Vay ngắn hạn > - Ngân hàng TMCP Thịnh Vương và Phát Triển - CN Hà Nội,- Ngân hàng TMCP Thịnh Vương và Phát Triển - CN Hà Nội,23.560.000.000,23.560.000.000,23.560.000.000,,,,23560000000.0,23560000000.0,23560000000.0,,,
- Ngân hàng TMCP Thịnh Vương và Phát Triển - CN An Giang,a) Vay ngắn hạn > - Ngân hàng TMCP Thịnh Vương và Phát Triển - CN An Giang,- Ngân hàng TMCP Thịnh Vương và Phát Triển - CN An Giang,49.981.500.000,49.981.500.000,49.981.500.000,,,,49981500000.0,49981500000.0,49981500000.0,,,
Bên liên quan,Bên liên quan,Bên liên quan,,,,,,,,,,,,
Cộng,Bên liên quan > Cộng,Cộng,2.071.615.989.088,2.071.615.989.088,1.865.309.237.217,1.635.106.737.649,1.841.413.489.520,1.841.413.489.520,2071615989088.0,2071615989088.0,1865309237217.0,1635106737649.0,1841413489520.0,1841413489520.0
