row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Năm nay,Năm trước,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Năm trước
+ Công ty Cổ phần Nhựt Hồng (Công ty con),+ Công ty Cổ phần Nhựt Hồng (Công ty con),+ Công ty Cổ phần Nhựt Hồng (Công ty con),+ Công ty Cổ phần Nhựt Hồng (Công ty con),+ Công ty Cổ phần Nhựt Hồng (Công ty con),+ Công ty Cổ phần Nhựt Hồng (Công ty con),,,
,,,1. Bán hàng trong năm,15.865.512.000,4.352.794.200,,15865512000.0,4352794200.0
,,,- Phí môi giới BDS,15.205.512.000,3.692.794.200,,15205512000.0,3692794200.0
,,,- Cho thuê văn phòng,660.000.000,660.000.000,,660000000.0,660000000.0
,,,2. Thu tiền trong năm:,30.042.861.955,29.831.396.285,,30042861955.0,29831396285.0
,,,- Thu tiền cho vay,21.900.000.000,15.600.000.000,,21900000000.0,15600000000.0
,,,- Thu lãi vay,1.397.513.000,2.636.021.000,,1397513000.0,2636021000.0
,,,- Thu tiền cho mượn tạm,6.745.348.955,11.595.375.285,,6745348955.0,11595375285.0
,,,3. Chi tiền trong năm,6.745.348.955,38.395.375.285,,6745348955.0,38395375285.0
,,,- Chi tiền cho vay,,26.800.000.000,,,26800000000.0
,,,- Cho mượn tạm,6.745.348.955,11.595.375.285,,6745348955.0,11595375285.0
+ Công ty Cổ phần Điện Mặt Trời EUROPLAST Long An (Công ty con),+ Công ty Cổ phần Điện Mặt Trời EUROPLAST Long An (Công ty con),+ Công ty Cổ phần Điện Mặt Trời EUROPLAST Long An (Công ty con),+ Công ty Cổ phần Điện Mặt Trời EUROPLAST Long An (Công ty con),+ Công ty Cổ phần Điện Mặt Trời EUROPLAST Long An (Công ty con),+ Công ty Cổ phần Điện Mặt Trời EUROPLAST Long An (Công ty con),,,
,,,1. Vay huy động,60.700.000.000,117.500.000.000,,60700000000.0,117500000000.0
,,,- Vay huy động vốn,60.700.000.000,117.500.000.000,,60700000000.0,117500000000.0
,,,2. Thu tiền trong năm,110.800.000.000,23.000.000.000,,110800000000.0,23000000000.0
,,,- Thu tiền mượn,7.300.000.000,,,7300000000.0,
,,,- Thu cổ tức,103.500.000.000,23.000.000.000,,103500000000.0,23000000000.0
,,,3. Chi tiền trong năm,174.431.546.000,105.557.308.000,,174431546000.0,105557308000.0
,,,- Cho mượn tạm,7.300.000.000,,,7300000000.0,
,,,- Cho vay vốn,16.500.000.000,,,16500000000.0,
,,,- Lãi vay,3.931.546.000,8.767.308.000,,3931546000.0,8767308000.0
,,,- Trả tiền vay,146.700.000.000,96.790.000.000,,146700000000.0,96790000000.0
+ Công ty TNHH TM Sao Mai Solar (Công ty con),+ Công ty TNHH TM Sao Mai Solar (Công ty con),+ Công ty TNHH TM Sao Mai Solar (Công ty con),+ Công ty TNHH TM Sao Mai Solar (Công ty con),+ Công ty TNHH TM Sao Mai Solar (Công ty con),+ Công ty TNHH TM Sao Mai Solar (Công ty con),,,
,,,1. Bán hàng trong năm,14.287.200,,,14287200.0,
,,,"- Nhà hàng, khách sạn",14.287.200,,,14287200.0,
,,,2. Mua hàng trong năm,16.285.263.192,17.988.081.480,,16285263192.0,17988081480.0
,,,- Thuê QL vận hành NM điện NLMT,16.117.588.440,17.988.081.480,,16117588440.0,17988081480.0
,,,- Thuê hệ thống điện áp mái,167.674.752,,,167674752.0,
,,,3. Thu tiền trong năm,16.000.000.000,44.918.151.000,,16000000000.0,44918151000.0
,,,- Thu cổ tức,10.000.000.000,,,10000000000.0,
,,,- Vay huy động vốn,,36.000.000.000,,,36000000000.0
,,,- Thu tiền cho vay,,7.500.000.000,,,7500000000.0
,,,- Thu lãi vay,,418.151.000,,,418151000.0
,,,- Thu tiền cho mượn tạm,6.000.000.000,1.000.000.000,,6000000000.0,1000000000.0
,,,4. Chi tiền trong năm,,38.512.493.000,,,38512493000.0
,,,- Lãi vay,,1.512.493.000,,,1512493000.0
,,,- Trả tiền vay,,36.000.000.000,,,36000000000.0
,,,- Cho mượn tạm,,1.000.000.000,,,1000000000.0
